FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,04/27/26 23:47:00.713518592
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledGyroZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:scaledGyroX,inertial-6286.188861:scaledGyroY,inertial-6286.188861:scaledGyroZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
1777333642375867392,,,,,,,-0.001167617738246918,1,-0.2242708504199982,1,0.03936313092708588,1
1777333642383746048,-0.02591367438435555,-0.01661454886198044,-0.9938611388206482,-0.005247850436717272,0.005900363903492689,0.1362597495317459,,,,,,
1777333642385916160,,,,,,,-0.320209801197052,1,-0.1411698013544083,1,0.05995345115661621,1
1777333642393779456,0.01109924912452698,-0.01784553751349449,-0.9953764677047729,-0.003818068187683821,0.003967660013586283,0.1508486866950989,,,,,,
1777333642395945472,,,,,,,0.0422196201980114,1,-0.1536878496408463,1,0.04509163275361061,1
1777333642403793152,0.02586227469146252,0.004260314628481865,-0.997491180896759,-0.01579852402210236,0.008313838392496109,0.1404149532318115,,,,,,
1777333642405954816,,,,,,,0.1863373070955276,1,0.06205496937036514,1,0.02435041032731533,1
1777333642413786880,0.01096814963966608,0.0107248704880476,-0.9928860664367676,-0.009246470406651497,0.003586410777643323,0.0892479196190834,,,,,,
1777333642415944192,,,,,,,0.03985387831926346,1,0.1246985644102097,1,0.06950949877500534,1
1777333642423761152,0.02614076808094978,0.001670678611844778,-0.9935114979743958,-0.008666105568408966,0.002932357601821423,0.05411465093493462,,,,,,
1777333642425914112,,,,,,,0.1884943395853043,1,0.03544184938073158,1,0.0633765235543251,1
1777333642433715456,0.02037778683006763,-0.003408586839213967,-0.9979494214057922,-0.002151070395484567,-0.0008499441901221871,0.05480381473898888,,,,,,
1777333642435864064,,,,,,,0.1318771541118622,1,-0.014921092428267,1,0.0198557935655117,1
1777333642443649792,0.002035027137026191,-0.002366277389228344,-0.9958770871162415,0.007610592059791088,-0.001058267196640372,0.05122820660471916,,,,,,
1777333642445794304,,,,,,,-0.04794932529330254,1,-0.00444286223500967,1,0.0401780791580677,1
1777333642453564928,0.03877967596054077,-0.006185318809002638,-0.9991255402565002,0.01296680793166161,0.001618768088519573,0.05530468747019768,,,,,,
1777333642455705088,,,,,,,0.3122603893280029,1,-0.04089081287384033,1,0.008318543434143066,1
1777333642463460096,0.0212559811770916,-0.007630996406078339,-0.9960609078407288,0.01870106346905231,-0.003745455062016845,0.0566517747938633,,,,,,
1777333642465596416,,,,,,,0.1405257880687714,1,-0.05344495177268982,1,0.03836924955248833,1
1777333642473336064,0.01735270768404007,-0.006987586617469788,-0.9964619278907776,0.00946358498185873,0.0009775219950824976,0.06372543424367905,,,,,,
1777333642475597312,,,,,,,0.102405458688736,1,-0.04573679342865944,1,0.03443488851189613,1
1777333642483451136,0.01706464402377605,0.008138097822666168,-0.9978001117706299,0.003276537638157606,0.0007353239343501627,0.04425396025180817,,,,,,
1777333642485707776,,,,,,,0.09951426088809967,1,0.1033616438508034,1,0.02130936831235886,1
1777333642493546496,0.0267579760402441,0.004619923885911703,-0.9945942163467407,-0.001318793278187513,0.0001377890148432925,0.03766617551445961,,,,,,
1777333642495799552,,,,,,,0.1946584582328796,1,0.06909289956092834,1,0.05274856090545654,1
1777333642503623424,0.01137238740921021,-0.006849298719316721,-0.9936617016792297,-0.002882712753489614,-0.0007052309811115265,0.03120432794094086,,,,,,
1777333642505872640,,,,,,,0.04388337954878807,1,-0.04338129609823227,1,0.06189469620585442,1
1777333642513681152,0.03317633271217346,-0.01578016020357609,-0.9959815144538879,0.001051894738338888,-0.0004123569233343005,0.03642244264483452,,,,,,
1777333642515926016,,,,,,,0.2578036785125732,1,-0.1309168040752411,1,0.03914574533700943,1
1777333642523719168,0.0503152459859848,-0.01673217490315437,-0.9968522191047668,0.002743005519732833,0.000800220703240484,0.02591276913881302,,,,,,
1777333642525959680,,,,,,,0.4257188737392426,1,-0.1399584710597992,1,0.03060544840991497,1
1777333642533737728,0.0441422164440155,-0.01477894745767117,-0.9964235424995422,0.001152250566519797,0.0004059863276779652,0.01715848036110401,,,,,,
1777333642535973632,,,,,,,0.3650467693805695,1,-0.1206427663564682,1,0.0348082110285759,1
1777333642543736576,0.05587396025657654,-0.006698205135762691,-0.997373640537262,0.0002220371388830245,0.0002006178692681715,-0.003013879992067814,,,,,,
1777333642545968128,,,,,,,0.4800909459590912,1,-0.04127303138375282,1,0.02549023367464542,1
1777333642553715968,0.06295487284660339,-0.005401598755270243,-0.9956715703010559,0.00348006165586412,-0.001219114987179637,-0.001877856208011508,,,,,,
1777333642555943168,,,,,,,0.5496246814727783,1,-0.02814177609980106,1,0.04218070209026337,1
1777333642563675904,0.06562864780426025,0.005506155546754599,-0.9948794841766357,0.008893472142517567,-0.00399797735735774,-0.003519367892295122,,,,,,
1777333642565898496,,,,,,,0.5760882496833801,1,0.07942727208137512,1,0.04994810372591019,1
1777333642573616128,0.0436941459774971,0.01711610145866871,-0.9958969950675964,0.006140785291790962,-0.004236451350152493,-0.0171719454228878,,,,,,
