Time,t,dt,q0,q1,q2,q3,acx,acy,acz,q0_rel,q1_rel,q2_rel,q3_rel
1778882051958081536,7.630111232,0.009978111999999761,0.984454,-0.00807,-0.167018,0.053755,-0.3260751366615295,0.0336896628141403,-0.9389642477035522,0.9999999645549915,6.163670996842639e-05,-2.3268913647452082e-05,0.00025797187740882643
1778882051968040192,7.640069888,0.009958656000000232,0.984454,-0.00807,-0.167021,0.053753,-0.3258578181266785,0.0337213985621929,-0.9393437504768372,0.9999999650249202,6.114221298946648e-05,-2.6206141028940018e-05,0.0002559785665311133
1778882051977978880,7.650008576,0.009938688000000084,0.984454,-0.008068,-0.167021,0.053752,-0.3260098993778229,0.0338829308748245,-0.939156711101532,0.9999999652471521,6.294415969357314e-05,-2.6305035152090345e-05,0.0002546601118921471
1778882051987897600,7.659927296,0.009918719999999936,0.984454,-0.008066,-0.167021,0.053752,-0.3260772824287415,0.0337894484400749,-0.9391111135482788,0.9999999652034602,6.491310369733175e-05,-2.6412016714985208e-05,0.0002543261149442369
1778882051997796608,7.669826304,0.009899007999999654,0.984454,-0.008066,-0.167023,0.05375,-0.3263187408447266,0.0337497889995575,-0.939262866973877,0.9999999656814186,6.447210689660039e-05,-2.8364775586716122e-05,0.00025234093709953446
1778882052007676416,7.679706112,0.00987980799999999,0.984454,-0.008063,-0.167024,0.053751,-0.3263047635555267,0.0336293056607246,-0.9392682909965516,0.9999999653255569,6.753901736634114e-05,-2.9517801570053885e-05,0.00025281626835700404
1778882052017536256,7.689565952,0.009859839999999842,0.984454,-0.008064,-0.167024,0.05375,-0.3257486820220947,0.0338172279298305,-0.9391400814056396,0.9999999656108116,6.638754886419303e-05,-2.945622352733111e-05,0.00025199880925015215
1778882052027376640,7.699406336,0.009840384000000313,0.984453,-0.008065,-0.167024,0.053752,-0.3260436356067657,0.0336401797831058,-0.9391220211982728,0.9999999650962943,6.572904694100365e-05,-2.9585936834927013e-05,0.00025418846337051343
1778882052037197568,7.709227264,0.009820927999999896,0.984453,-0.008061,-0.167025,0.053752,-0.3259413540363312,0.0335947014391422,-0.9391273856163024,0.999999964968893,6.961343487519624e-05,-3.078436704612782e-05,0.0002535123379132115
1778882052047191552,7.719221248,0.009993984000000289,0.984453,-0.008058,-0.167025,0.053754,-0.3262257277965546,0.0337476953864097,-0.939144492149353,0.9999999643559745,7.290084551202226e-05,-3.096101392765746e-05,0.0002549802585932475
1778882052057358336,7.729388032,0.010166783999999929,0.984454,-0.008056,-0.167023,0.053751,-0.3264795541763306,0.0336006581783294,-0.9395371079444884,0.9999999651430272,7.448382209851619e-05,-2.8907770778001428e-05,0.0002516554102253172
1778882052067504896,7.739534592,0.010146559999999916,0.984454,-0.008057,-0.167022,0.053753,-0.3265428245067596,0.0336775444447994,-0.9393115043640136,0.9999999646744706,7.388684615182092e-05,-2.7885988044439676e-05,0.0002537994552200718
1778882052077631232,7.749660928,0.010126335999999903,0.984454,-0.008059,-0.167022,0.05375,-0.3265155255794525,0.0338957644999027,-0.939504086971283,0.999999965518933,7.141691231015053e-05,-2.775474441762282e-05,0.0002511800786384748
1778882052087737344,7.75976704,0.01010611199999989,0.984454,-0.008058,-0.167023,0.05375,-0.3260406255722046,0.0338886752724647,-0.9394664168357848,0.9999999654666394,7.234788173142957e-05,-2.8792701900827965e-05,0.00025100494936463593
1778882052097824000,7.769853696,0.01008665600000036,0.984454,-0.008057,-0.167023,0.053752,-0.3263192176818848,0.0337727963924408,-0.9394622445106506,0.9999999649144601,7.366634674276819e-05,-2.8862367279234094e-05,0.00025280686639232264
1778882052107890688,7.779920384,0.010066688000000212,0.984453,-0.008056,-0.167025,0.053756,-0.3259292840957642,0.0337803103029727,-0.9393364787101746,0.9999999637634074,7.520378331301973e-05,-3.108416994948094e-05,0.00025661517751816767
1778882052117937152,7.789966848,0.010046463999999311,0.984453,-0.008054,-0.167023,0.053758,-0.3262322545051575,0.0338242761790752,-0.939437210559845,0.9999999632098558,7.761372776734707e-05,-2.923839254912288e-05,0.0002582663601077063
1778882052127963648,7.799993344,0.010026496000000051,0.984453,-0.008056,-0.167027,0.053759,-0.3262744247913361,0.0337315946817398,-0.9392781257629396,0.9999999629117375,7.55977663856721e-05,-3.307736345238083e-05,0.0002595522862816524
1778882052137970688,7.810000384,0.010007040000000522,0.984452,-0.008055,-0.167028,0.05376,-0.3260063230991364,0.0338502563536167,-0.9394083619117736,0.9999999625634993,7.66877178334617e-05,-3.429044097190604e-05,0.0002604153596689478
1778882052147957760,7.819987456,0.009987071999999486,0.984453,-0.008054,-0.167027,0.053759,-0.3260572850704193,0.0336075760424137,-0.9392685294151306,0.9999999628440409,7.75667100064853e-05,-3.318434509196099e-05,0.0002592182895057417
1778882052157924864,7.82995456,0.009967104000000226,0.984452,-0.008055,-0.167026,0.053764,-0.3260061144828796,0.0337515659630298,-0.9390246272087096,0.9999999615307729,7.746271065890188e-05,-3.235385632766421e-05,0.00026436945660997246
1778882052167872000,7.839901696,0.009947136000000079,0.984453,-0.008056,-0.167025,0.053762,-0.326481968164444,0.0339881256222724,-0.9393147826194764,0.9999999621528379,7.620576208464298e-05,-3.113269298836148e-05,0.0002625219228800939
1778882052177799680,7.849829376,0.009927679999999661,0.984453,-0.008057,-0.167023,0.053762,-0.3263005316257477,0.0337892025709152,-0.9389445781707764,0.9999999622321118,7.532829640878765e-05,-2.9110269204971517e-05,0.0002627051867129472
1778882052187707648,7.859737344,0.009907968000000267,0.984453,-0.008057,-0.167021,0.053764,-0.3265897929668427,0.0336887873709201,-0.9391082525253296,0.9999999617302456,7.576929584875679e-05,-2.715750969703673e-05,0.00026469036771702495
1778882052197595648,7.869625344,0.009888000000000119,0.984453,-0.008057,-0.167021,0.053763,-0.3263084292411804,0.0336899161338806,-0.9390702843666076,0.9999999620031964,7.560229931631753e-05,-2.714942230801231e-05,0.0002637059099951679
1778882052207464192,7.879493888,0.009868543999999702,0.984454,-0.008058,-0.167017,0.053763,-0.3261174559593201,0.0337357819080352,-0.9395042657852172,0.9999999621263465,7.483985430882002e-05,-2.2991035838457186e-05,0.0002638516898006923
1778882052217313280,7.889342976,0.009849088000000172,0.984454,-0.008056,-0.167016,0.053763,-0.3260597288608551,0.0338573977351188,-0.9393160343170166,0.9999999620786576,7.686230222777278e-05,-2.2113549408579053e-05,0.0002635258258030244
1778882052227142656,7.899172352,0.00982937599999989,0.984454,-0.008057,-0.167016,0.053764,-0.3260146677494049,0.033863753080368,-0.9391363859176636,0.9999999618380582,7.60448262957028e-05,-2.2068146305687e-05,0.00026467728183657865
1778882052237141504,7.9091712,0.009998848000000393,0.984455,-0.008056,-0.167012,0.053767,-0.3262816369533539,0.0338289961218833,-0.9391733407974244,0.9999999610518209,7.775231442985926e-05,-1.804100737616977e-05,0.0002674424357274399
1778882052247308800,7.919338496,0.01016729599999966,0.984455,-0.008056,-0.167013,0.053767,-0.326029360294342,0.0337983258068561,-0.938961386680603,0.9999999610399093,7.769881089501884e-05,-1.902547548891044e-05,0.0002674343022189265
1778882052257456384,7.92948608,0.010147584000000265,0.984455,-0.008053,-0.167013,0.053768,-0.3260414600372314,0.0336643308401107,-0.9391452074050904,0.9999999606599563,8.08192223457297e-05,-1.919403541068138e-05,0.0002679177640158479
1778882052267583744,7.93961344,0.010127359999999364,0.984455,-0.008053,-0.167011,0.053767,-0.3261497914791107,0.033610925078392,-0.9391436576843262,0.9999999609597221,8.07592342978846e-05,-1.7217011051894895e-05,0.00026694957412402333
1778882052277690880,7.949720576,0.010107136000000239,0.984455,-0.008054,-0.167011,0.053768,-0.3260363340377808,0.0337719433009624,-0.9390762448310852,0.9999999607181439,7.99417584030019e-05,-1.717160826713714e-05,0.00026810102955383353
1778882052287778304,7.959808,0.010087423999999956,0.984455,-0.00805,-0.167011,0.05377,-0.3263199925422668,0.0336387455463409,-0.9390482306480408,0.999999960013915,8.421363876014686e-05,-1.740174690605372e-05,0.0002694019500336896
1778882052297845504,7.9698752,0.010067199999999943,0.984454,-0.008048,-0.167012,0.053774,-0.3261333107948303,0.0339358150959014,-0.9393991827964784,0.999999958780588,8.678905772772395e-05,-1.86925668111771e-05,0.00027305140498832593
1778882052307892480,7.979922176,0.01004697599999993,0.984454,-0.008048,-0.167013,0.053774,-0.326067715883255,0.0339899510145187,-0.9393756985664368,0.9999999587685645,8.673555264764564e-05,-1.9677035477122767e-05,0.00027304327053754326
1778882052317920000,7.989949696,0.0100275200000004,0.984454,-0.008045,-0.167013,0.053773,-0.3260414600372314,0.0338119789958,-0.9392931461334229,0.99999995892448,8.952197440800433e-05,-1.98294199299804e-05,0.0002715578181732164
1778882052327927552,7.999957248,0.010007552000000253,0.984454,-0.008044,-0.167012,0.053774,-0.3259365260601044,0.033483013510704,-0.9391900300979614,0.9999999586092198,9.07269484567673e-05,-1.890652979626731e-05,0.00027238341133065683
1778882052337914880,8.009944576,0.00998732800000024,0.984454,-0.008042,-0.167012,0.05378,-0.3260266482830048,0.0337481200695037,-0.9391294717788696,0.9999999567988608,9.369786736748709e-05,-1.9062038240183292e-05,0.0002779561567968522
1778882052347882240,8.019911936,0.009967359999999204,0.984455,-0.00804,-0.16701,0.053777,-0.3260248601436615,0.0339108146727085,-0.9391371011734008,0.999999957604956,9.528083398773271e-05,-1.7008800888572255e-05,0.0002746312978395965
1778882052357830400,8.029860096,0.009948160000000428,0.984455,-0.008038,-0.167009,0.053779,-0.3259615302085876,0.0337183214724063,-0.939489722251892,0.9999999569393517,9.763727531192368e-05,-1.614748968616059e-05,0.0002762743490205943
1778882052367758592,8.039788288,0.00992819200000028,0.984455,-0.008038,-0.167011,0.053776,-0.3258268237113953,0.0337860621511936,-0.9395351409912108,0.9999999577812635,9.702927595833799e-05,-1.8092162612581104e-05,0.0002733047102644942
1778882052377667072,8.049696768,0.009908479999999997,0.984454,-0.008038,-0.167011,0.053778,-0.3258608281612396,0.0338297672569751,-0.9393156170845032,0.9999999571913959,9.735527341687977e-05,-1.8275356787684734e-05,0.0002753273844897509
1778882052387555584,8.05958528,0.00988851199999985,0.984454,-0.008036,-0.167013,0.053781,-0.3258782923221588,0.0335398353636264,-0.9392321109771729,0.9999999561978808,9.971819023377876e-05,-2.0375538730004828e-05,0.0002779304883115338
1778882052397424640,8.069454336,0.009869055999999432,0.984454,-0.008035,-0.167011,0.053783,-0.3259663581848145,0.03367879986763,-0.939650297164917,0.9999999555846317,0.00010114366766700127,-1.847626829929713e-05,0.00027974867409545114
1778882052407274240,8.079303936,0.009849600000000791,0.984454,-0.008036,-0.167012,0.053782,-0.326158344745636,0.0338399112224578,-0.9396795034408568,0.9999999559189219,9.99386926515515e-05,-1.939915825980383e-05,0.00027892308025201915
1778882052417104128,8.089133824,0.009829887999998732,0.984454,-0.008035,-0.167011,0.053783,-0.3259257376194,0.0335614942014217,-0.9393782019615172,0.9999999555846317,0.00010114366766700127,-1.847626829929713e-05,0.00027974867409545114
1778882052427104256,8.099133952,0.010000128000001496,0.984455,-0.008036,-0.167007,0.053785,-0.3262121975421906,0.0335544161498546,-0.9396294355392456,0.999999955102013,0.00010071520473226708,-1.433406167566264e-05,0.0002818633611877644
1778882052437272576,8.109302272,0.010168320000000008,0.984455,-0.008032,-0.167007,0.053787,-0.3258450925350189,0.0338711813092231,-0.9390314817428588,0.9999999542917923,0.0001049870830804496,-1.4564200503440895e-05,0.00028316428046904255
1778882052447420928,8.119450624,0.01014835199999986,0.984455,-0.008029,-0.167008,0.053789,-0.3259037733078003,0.033750545233488,-0.9391091465950012,0.9999999535150378,0.00010822098011853236,-1.572531716135492e-05,0.0002846240613594564
1778882052457549312,8.129579008,0.010128383999999713,0.984454,-0.00803,-0.16701,0.053787,-0.3261437714099884,0.0339007824659347,-0.9392075538635254,0.999999954135152,0.00010678751839672714,-1.77916047178522e-05,0.0002828596448090689
1778882052467657728,8.139687424,0.010108415999999565,0.984455,-0.008028,-0.167008,0.053786,-0.3261748850345612,0.0337076745927333,-0.9395873546600342,0.9999999543454001,0.00010870446819713324,-1.575454384854561e-05,0.0002815036956088485
1778882052477746688,8.149776384,0.010088960000000924,0.984455,-0.008027,-0.167008,0.053788,-0.3263178467750549,0.0335158705711364,-0.9396467804908752,0.9999999536912395,0.00011002292935293444,-1.5824210509828593e-05,0.0002833056092619371
1778882052487815424,8.15984512,0.010068735999999134,0.984454,-0.008025,-0.16701,0.053784,-0.3262982070446014,0.0333946011960506,-0.9393871426582336,0.9999999547132722,0.00011120889777340577,-1.8034794721577446e-05,0.00027907128298844576
1778882052497864192,8.169893888,0.010048768000000763,0.984454,-0.008023,-0.167011,0.053786,-0.3262563049793243,0.0335516296327114,-0.9394599795341492,0.9999999539846857,0.00011345832292057081,-1.914242059041096e-05,0.00028069806423143166
1778882052507893248,8.179922944,0.010029055999998704,0.984454,-0.008027,-0.167013,0.053785,-0.3261421024799347,0.0337003283202648,-0.93912011384964,0.9999999545120682,0.00010924642036394365,-2.0889306260036492e-05,0.0002803653295284372
1778882052517902848,8.189932544,0.010009600000000063,0.984454,-0.008026,-0.167014,0.053785,-0.3260330259799957,0.0338300503790378,-0.9392147660255432,0.9999999544367957,0.00011017738365620873,-2.1927264708180867e-05,0.0002801901956299962
1778882052527892224,8.19992192,0.00998937600000005,0.984453,-0.008026,-0.167018,0.053782,-0.3261952698230743,0.0338733606040477,-0.9393077492713928,0.9999999552356497,0.00010945438344461303,-2.600789594542553e-05,0.00027725804962379195
1778882052537861888,8.209891584,0.009969663999999767,0.984453,-0.008024,-0.167018,0.053783,-0.3258477747440338,0.0338318720459938,-0.939318597316742,0.9999999548160244,0.00011159032316564699,-2.612296496599232e-05,0.000277908509701542
1778882052547812096,8.219841792,0.009950208000001126,0.984454,-0.008025,-0.167012,0.053787,-0.3259216547012329,0.0339683555066585,-0.939440131187439,0.9999999538074755,0.00011160286311001633,-2.0027995214238917e-05,0.00028200838139049215
1778882052557742848,8.229772544,0.009930751999998932,0.984454,-0.008026,-0.167009,0.053788,-0.3261456787586212,0.0337225012481212,-0.9392047524452208,0.9999999536038465,0.000110945912613597,-1.7029186634218828e-05,0.0002831842442711614
1778882052567653888,8.239683584,0.009911040000000426,0.984454,-0.008029,-0.167007,0.053792,-0.3264266848564148,0.0337537452578544,-0.9393412470817566,0.9999999526051366,0.00010876749084099552,-1.4932127916303742e-05,0.00028763933852257793
1778882052577545472,8.249575168,0.009891584000000009,0.984455,-0.008027,-0.167006,0.053789,-0.3264331519603729,0.0337844900786876,-0.9391998052597046,0.9999999534061481,0.00011029694180849335,-1.3863361105098324e-05,0.0002843063376810819
1778882052587417088,8.259446784,0.009871615999999861,0.984455,-0.008027,-0.167006,0.053791,-0.3261576592922211,0.0336664170026779,-0.9395304918289183,0.9999999528073176,0.00011063093091166591,-1.3879537300137657e-05,0.00028627524956673436
1778882052597269760,8.269299456,0.00985267200000095,0.984454,-0.008027,-0.16701,0.053791,-0.3262558877468109,0.0337360948324203,-0.9390857815742492,0.999999952760379,0.00011040891478347227,-1.798442841788355e-05,0.00028629647533970955
1778882052607102464,8.27913216,0.009832703999999026,0.984454,-0.008024,-0.16701,0.05379,-0.3259396255016327,0.0335746780037879,-0.9391723275184632,0.9999999528702749,0.0001131953377018595,-1.8136812700772487e-05,0.00028481102435802975
1778882052617103616,8.289133312,0.010001152000000957,0.984455,-0.008026,-0.167006,0.053791,-0.3260718584060669,0.0334514789283275,-0.939849317073822,0.9999999527449694,0.00011161540304320018,-1.3933027967197396e-05,0.00028610825137873183
1778882052627272448,8.299302144,0.010168831999999739,0.984454,-0.008026,-0.167009,0.05379,-0.3259641528129578,0.0335578732192516,-0.9396541118621826,0.999999953006957,0.00011127990182927157,-1.7045362497473645e-05,0.0002851531573516196
1778882052637421312,8.309451008,0.010148863999999591,0.984454,-0.008023,-0.16701,0.053795,-0.3262324333190918,0.0334179028868675,-0.9395049214363098,0.999999951295296,0.00011501478206534488,-1.823074275195862e-05,0.0002895663063677188
1778882052647550208,8.319579904,0.010128895999999443,0.984454,-0.008021,-0.167012,0.053794,-0.326301097869873,0.0335864573717117,-0.9393253326416016,0.9999999514446825,0.00011670971233505162,-2.0298572403691585e-05,0.0002882315801527493
1778882052657659136,8.329688832,0.010108928000001072,0.984453,-0.008019,-0.167014,0.053794,-0.3260893225669861,0.0335791334509849,-0.9392712712287904,0.9999999512639616,0.0001185636636289872,-2.2541511199591938e-05,0.00028793508399072026
1778882052667747840,8.339777536,0.010088703999999282,0.984454,-0.008018,-0.167012,0.053793,-0.326010525226593,0.0334731601178646,-0.9395393133163452,0.9999999515395435,0.00011949613449602388,-2.045095679831249e-05,0.00028674612998181594
1778882052677816320,8.349846016,0.010068480000001045,0.984454,-0.008019,-0.167011,0.053792,-0.3261217474937439,0.0336716882884502,-0.9391865134239196,0.99999995192273,0.0001183981785826925,-1.940491034874061e-05,0.0002859368089598753
1778882052687865344,8.35989504,0.010049023999998852,0.984453,-0.008016,-0.167015,0.053791,-0.3264923095703125,0.0335538312792778,-0.9395599365234376,0.9999999519417501,0.00012096258883992524,-2.3662188607263736e-05,0.0002844725833712461
1778882052697894144,8.36992384,0.010028800000000615,0.984453,-0.008011,-0.167015,0.05379,-0.3264895379543304,0.0336771346628665,-0.9396098256111144,0.9999999518649785,0.00012571795896811414,-2.392155492903338e-05,0.0002826531352344943
