time(ms),VPWR(V),VSS(km/h)
1779393186329,13.46,0.0
1779393186343,13.47,0.0
1779393186360,13.48,0.0
1779393186377,13.48,0.0
1779393186392,13.48,0.0
1779393186408,13.48,0.0
1779393186425,13.48,2.0
1779393186440,13.48,4.0
1779393186456,13.48,4.0
1779393186472,13.49,4.0
1779393186489,13.50,4.0
1779393186504,13.50,4.0
1779393186522,13.50,4.0
1779393186537,13.50,4.0
1779393186553,13.50,4.0
1779393186569,13.49,4.0
1779393186584,13.48,4.0
1779393186600,13.48,4.0
1779393186616,13.48,4.0
1779393186633,13.48,4.0
1779393186649,13.48,4.0
1779393186666,13.48,4.0
1779393186680,13.48,4.0
1779393186698,13.47,4.0
1779393186712,13.46,4.0
1779393186728,13.46,4.0
1779393186744,13.46,4.0
1779393186760,13.47,4.0
1779393186776,13.48,4.0
1779393186793,13.48,4.0
1779393186809,13.48,4.0
1779393186824,13.48,4.0
1779393186842,13.48,4.0
1779393186858,13.47,4.0
1779393186873,13.46,4.0
1779393186888,13.46,4.0
1779393186905,13.46,5.0
1779393186920,13.47,6.0
1779393186938,13.48,6.0
1779393186954,13.48,6.0
1779393186970,13.48,6.0
1779393186985,13.48,6.0
1779393187000,13.48,6.0
1779393187017,13.47,6.0
1779393187032,13.46,6.0
1779393187048,13.46,6.0
1779393187065,13.46,6.0
1779393187080,13.47,6.0
1779393187097,13.48,6.0
1779393187114,13.48,6.0
1779393187128,13.48,6.0
1779393187144,13.48,6.0
1779393187161,13.48,6.0
1779393187177,13.47,6.0
1779393187194,13.46,6.0
1779393187209,13.47,6.0
1779393187224,13.48,6.0
1779393187240,13.48,6.0
1779393187258,13.48,6.0
1779393187274,13.48,6.0
1779393187288,13.48,6.0
1779393187304,13.48,6.0
1779393187321,13.48,6.0
1779393187336,13.48,6.0
1779393187354,13.48,8.0
1779393187370,13.48,9.0
1779393187385,13.48,9.0
1779393187400,13.48,9.0
1779393187417,13.48,9.0
1779393187434,13.48,9.0
1779393187449,13.48,9.0
1779393187466,13.48,9.0
1779393187483,13.48,9.0
1779393187498,13.48,9.0
1779393187514,13.48,9.0
1779393187529,13.49,9.0
1779393187547,13.50,9.0
1779393187561,13.50,9.0
1779393187576,13.50,9.0
1779393187594,13.50,9.0
1779393187610,13.50,9.0
1779393187625,13.49,9.0
1779393187643,13.48,9.0
1779393187658,13.49,9.0
1779393187673,13.50,9.0
1779393187690,13.50,9.0
1779393187706,13.50,9.0
1779393187722,13.50,9.0
1779393187737,13.50,9.0
1779393187753,13.50,9.0
1779393187768,13.50,9.0
1779393187786,13.50,9.0
1779393187800,13.50,9.0
1779393187818,13.51,9.0
1779393187833,13.52,10.0
1779393187849,13.51,11.0
1779393187866,13.50,11.0
1779393187881,13.49,11.0
1779393187897,13.48,11.0
1779393187945,13.49,11.0
1779393187961,13.50,11.0
1779393187977,13.50,11.0
