time(ms),VPWR(V),VSS(km/h),timestamp_gmt,t_s
1779393660149,13.48,5.0,2026-05-21 20:01:00.149000+00:00,3.138
1779393660164,13.48,5.0,2026-05-21 20:01:00.164000+00:00,3.153
1779393660182,13.48,5.0,2026-05-21 20:01:00.182000+00:00,3.171
1779393660196,13.48,5.0,2026-05-21 20:01:00.196000+00:00,3.185
1779393660213,13.48,5.0,2026-05-21 20:01:00.213000+00:00,3.202
1779393660228,13.48,5.0,2026-05-21 20:01:00.228000+00:00,3.217
1779393660243,13.48,5.0,2026-05-21 20:01:00.243000+00:00,3.232
1779393660261,13.48,5.0,2026-05-21 20:01:00.261000+00:00,3.25
1779393660276,13.49,5.0,2026-05-21 20:01:00.276000+00:00,3.265
1779393660292,13.5,5.0,2026-05-21 20:01:00.292000+00:00,3.281
1779393660310,13.5,5.0,2026-05-21 20:01:00.310000+00:00,3.299
1779393660324,13.5,5.0,2026-05-21 20:01:00.324000+00:00,3.313
1779393660341,13.5,5.0,2026-05-21 20:01:00.341000+00:00,3.33
1779393660356,13.5,5.0,2026-05-21 20:01:00.356000+00:00,3.345
1779393660371,13.49,5.0,2026-05-21 20:01:00.371000+00:00,3.36
1779393660389,13.48,5.0,2026-05-21 20:01:00.389000+00:00,3.378
1779393660403,13.49,5.0,2026-05-21 20:01:00.403000+00:00,3.392
1779393660420,13.5,5.0,2026-05-21 20:01:00.420000+00:00,3.409
1779393660435,13.5,5.0,2026-05-21 20:01:00.435000+00:00,3.424
1779393660452,13.5,5.0,2026-05-21 20:01:00.452000+00:00,3.441
1779393660467,13.5,5.0,2026-05-21 20:01:00.467000+00:00,3.456
1779393660484,13.5,5.0,2026-05-21 20:01:00.484000+00:00,3.473
1779393660501,13.5,5.0,2026-05-21 20:01:00.501000+00:00,3.49
1779393660516,13.5,5.0,2026-05-21 20:01:00.516000+00:00,3.505
1779393660534,13.5,5.0,2026-05-21 20:01:00.534000+00:00,3.523
1779393660549,13.5,5.0,2026-05-21 20:01:00.549000+00:00,3.538
1779393660565,13.51,5.0,2026-05-21 20:01:00.565000+00:00,3.554
1779393660581,13.52,6.0,2026-05-21 20:01:00.581000+00:00,3.57
1779393660597,13.52,7.0,2026-05-21 20:01:00.597000+00:00,3.586
1779393660612,13.52,7.0,2026-05-21 20:01:00.612000+00:00,3.601
1779393660628,13.51,7.0,2026-05-21 20:01:00.628000+00:00,3.617
1779393660643,13.5,7.0,2026-05-21 20:01:00.643000+00:00,3.632
1779393660661,13.5,7.0,2026-05-21 20:01:00.661000+00:00,3.65
1779393660676,13.5,7.0,2026-05-21 20:01:00.676000+00:00,3.665
1779393660693,13.51,7.0,2026-05-21 20:01:00.693000+00:00,3.682
1779393660709,13.52,7.0,2026-05-21 20:01:00.709000+00:00,3.698
1779393660723,13.52,7.0,2026-05-21 20:01:00.723000+00:00,3.712
1779393660740,13.52,7.0,2026-05-21 20:01:00.740000+00:00,3.729
1779393660757,13.52,7.0,2026-05-21 20:01:00.757000+00:00,3.746
1779393660775,13.52,7.0,2026-05-21 20:01:00.775000+00:00,3.764
1779393660788,13.51,7.0,2026-05-21 20:01:00.788000+00:00,3.777
1779393660806,13.5,7.0,2026-05-21 20:01:00.806000+00:00,3.795
1779393660822,13.5,7.0,2026-05-21 20:01:00.822000+00:00,3.811
1779393660838,13.5,7.0,2026-05-21 20:01:00.838000+00:00,3.827
1779393660854,13.51,7.0,2026-05-21 20:01:00.854000+00:00,3.843
1779393660868,13.52,7.0,2026-05-21 20:01:00.868000+00:00,3.857
1779393660884,13.52,7.0,2026-05-21 20:01:00.884000+00:00,3.873
1779393660900,13.52,7.0,2026-05-21 20:01:00.900000+00:00,3.889
1779393660917,13.52,7.0,2026-05-21 20:01:00.917000+00:00,3.906
1779393660934,13.52,7.0,2026-05-21 20:01:00.934000+00:00,3.923
1779393660948,13.51,7.0,2026-05-21 20:01:00.948000+00:00,3.937
1779393660964,13.5,7.0,2026-05-21 20:01:00.964000+00:00,3.953
1779393660980,13.51,7.0,2026-05-21 20:01:00.980000+00:00,3.969
1779393660997,13.52,7.0,2026-05-21 20:01:00.997000+00:00,3.986
1779393661012,13.53,7.0,2026-05-21 20:01:01.012000+00:00,4.001
1779393661027,13.54,8.0,2026-05-21 20:01:01.027000+00:00,4.016
1779393661045,13.54,9.0,2026-05-21 20:01:01.045000+00:00,4.034
1779393661061,13.54,9.0,2026-05-21 20:01:01.061000+00:00,4.05
1779393661077,13.53,9.0,2026-05-21 20:01:01.077000+00:00,4.066
1779393661093,13.52,9.0,2026-05-21 20:01:01.093000+00:00,4.082
1779393661107,13.53,9.0,2026-05-21 20:01:01.107000+00:00,4.096
1779393661125,13.54,9.0,2026-05-21 20:01:01.125000+00:00,4.114
1779393661141,13.55,9.0,2026-05-21 20:01:01.141000+00:00,4.13
