time(ms),VPWR(V),VSS(km/h)
1779392580293,13.34,5.0
1779392580308,13.34,5.0
1779392580325,13.34,5.0
1779392580340,13.35,5.0
1779392580356,13.36,5.0
1779392580373,13.36,5.0
1779392580388,13.36,5.0
1779392580404,13.36,5.0
1779392580421,13.36,5.0
1779392580436,13.36,5.0
1779392580453,13.36,6.0
1779392580470,13.36,7.0
1779392580485,13.36,7.0
1779392580501,13.36,7.0
1779392580518,13.36,7.0
1779392580534,13.36,7.0
1779392580550,13.36,7.0
1779392580564,13.35,7.0
1779392580582,13.34,7.0
1779392580596,13.35,7.0
1779392580614,13.36,7.0
1779392580630,13.37,7.0
1779392580645,13.38,7.0
1779392580661,13.38,7.0
1779392580677,13.38,7.0
1779392580692,13.37,7.0
1779392580708,13.36,7.0
1779392580725,13.36,7.0
1779392580742,13.36,7.0
1779392580756,13.37,7.0
1779392580773,13.38,7.0
1779392580805,13.38,7.0
1779392580820,13.38,7.0
1779392580838,13.38,7.0
1779392580855,13.38,7.0
1779392580868,13.38,7.0
1779392580884,13.37,7.0
1779392580900,13.36,7.0
1779392580918,13.37,7.0
1779392580934,13.38,8.0
1779392580948,13.38,9.0
1779392580965,13.38,9.0
1779392580981,13.38,9.0
1779392580999,13.38,9.0
1779392581013,13.37,9.0
1779392581030,13.36,9.0
1779392581045,13.37,9.0
1779392581061,13.38,9.0
1779392581079,13.38,9.0
1779392581093,13.38,9.0
1779392581117,13.38,9.0
1779392581124,13.38,9.0
1779392581141,13.37,9.0
1779392581159,13.36,9.0
1779392581173,13.37,9.0
1779392581189,13.38,9.0
1779392581207,13.38,9.0
1779392581222,13.38,9.0
1779392581237,13.38,9.0
1779392581255,13.38,9.0
1779392581268,13.38,9.0
1779392581284,13.38,9.0
1779392581300,13.38,9.0
1779392581318,13.38,9.0
1779392581334,13.37,9.0
1779392581349,13.36,9.0
1779392581366,13.37,9.0
1779392581382,13.38,9.0
1779392581397,13.38,9.0
1779392581414,13.38,11.0
1779392581430,13.38,12.0
1779392581445,13.38,12.0
1779392581462,13.38,12.0
1779392581476,13.38,12.0
1779392581494,13.39,12.0
1779392581508,13.40,12.0
1779392581525,13.40,12.0
1779392581540,13.40,12.0
1779392581558,13.40,12.0
1779392581574,13.40,12.0
1779392581588,13.39,12.0
1779392581605,13.38,12.0
1779392581620,13.38,12.0
1779392581637,13.38,12.0
1779392581654,13.39,12.0
1779392581669,13.40,12.0
1779392581686,13.40,12.0
1779392581700,13.40,12.0
1779392581717,13.39,12.0
1779392581733,13.38,12.0
1779392581750,13.38,12.0
1779392581764,13.38,12.0
1779392581781,13.38,12.0
1779392581799,13.38,12.0
1779392581813,13.39,12.0
1779392581830,13.40,12.0
1779392581845,13.40,12.0
1779392581863,13.40,12.0
1779392581877,13.40,12.0
1779392581895,13.40,12.0
1779392581909,13.39,12.0
1779392581926,13.38,12.0
1779392581941,13.39,12.0
1779392581958,13.40,12.0
1779392581974,13.40,12.0
1779392581990,13.40,12.0
1779392582006,13.40,12.0
1779392582023,13.40,12.0
1779392582038,13.40,12.0
1779392582053,13.40,12.0
1779392582071,13.40,12.0
1779392582086,13.40,12.0
1779392582101,13.40,12.0
1779392582118,13.40,12.0
1779392582133,13.40,12.0
1779392582150,13.40,12.0
1779392582165,13.40,12.0
1779392582182,13.40,12.0
1779392582198,13.40,12.0
1779392582214,13.40,12.0
1779392582231,13.40,12.0
1779392582246,13.40,12.0
1779392582262,13.40,12.0
1779392582277,13.40,12.0
1779392582294,13.40,12.0
1779392582310,13.40,12.0
1779392582326,13.40,12.0
1779392582343,13.40,14.0
1779392582358,13.40,15.0
1779392582407,13.40,15.0
1779392582422,13.40,15.0
1779392582469,13.40,15.0
1779392582502,13.40,15.0
1779392582517,13.41,15.0
1779392582533,13.42,15.0
1779392582565,13.42,15.0
1779392582583,13.42,15.0
1779392582599,13.42,15.0
1779392582613,13.42,15.0
1779392582631,13.42,15.0
1779392582646,13.42,15.0
1779392582662,13.42,15.0
1779392582678,13.43,15.0
1779392582694,13.44,15.0
1779392582709,13.44,15.0
1779392582725,13.44,15.0
1779392582743,13.43,15.0
1779392582758,13.42,15.0
1779392582774,13.42,15.0
1779392582789,13.42,15.0
1779392582806,13.43,15.0
1779392582822,13.44,15.0
1779392582839,13.44,15.0
1779392582853,13.44,15.0
1779392582870,13.43,15.0
1779392582885,13.42,15.0
1779392582903,13.42,15.0
1779392582918,13.42,15.0
1779392582935,13.43,15.0
1779392582950,13.44,15.0
1779392582965,13.44,15.0
1779392582981,13.44,15.0
1779392582998,13.44,15.0
1779392583014,13.44,15.0
1779392583030,13.43,15.0
1779392583048,13.42,15.0
1779392583062,13.42,15.0
1779392583079,13.42,15.0
1779392583094,13.43,15.0
1779392583110,13.44,15.0
1779392583126,13.44,15.0
1779392583144,13.44,15.0
1779392583159,13.44,15.0
1779392583174,13.44,15.0
1779392583189,13.44,15.0
1779392583208,13.44,15.0
1779392583222,13.43,15.0
1779392583240,13.42,15.0
1779392583255,13.42,15.0
1779392583269,13.42,15.0
1779392583286,13.42,15.0
1779392583302,13.42,15.0
1779392583318,13.42,15.0
1779392583333,13.42,15.0
1779392583351,13.42,15.0
1779392583366,13.42,15.0
1779392583381,13.42,15.0
1779392583399,13.42,15.0
1779392583415,13.42,15.0
1779392583431,13.42,15.0
1779392583446,13.42,15.0
1779392583464,13.42,15.0
1779392583478,13.42,15.0
1779392583494,13.42,15.0
1779392583510,13.42,15.0
1779392583527,13.42,15.0
1779392583543,13.42,15.0
1779392583558,13.42,15.0
1779392583573,13.42,15.0
1779392583590,13.42,15.0
1779392583608,13.42,15.0
1779392583623,13.42,15.0
1779392583638,13.41,15.0
1779392583655,13.40,15.0
1779392583669,13.40,15.0
1779392583686,13.40,15.0
1779392583703,13.41,15.0
1779392583719,13.42,15.0
1779392583733,13.42,15.0
1779392583751,13.42,15.0
1779392583767,13.41,15.0
1779392583783,13.40,15.0
1779392583798,13.41,15.0
1779392583814,13.42,15.0
1779392583832,13.42,15.0
1779392583847,13.42,15.0
1779392583863,13.42,15.0
1779392583878,13.42,15.0
1779392583894,13.42,15.0
1779392583911,13.42,15.0
1779392583926,13.42,15.0
1779392583942,13.42,15.0
1779392583959,13.41,15.0
1779392583975,13.40,15.0
1779392583989,13.41,15.0
1779392584008,13.42,15.0
1779392584023,13.42,15.0
1779392584038,13.42,15.0
1779392584054,13.42,15.0
1779392584071,13.42,15.0
1779392584087,13.42,15.0
1779392584102,13.42,15.0
1779392584118,13.45,15.0
1779392584134,13.48,15.0
1779392584151,13.50,15.0
1779392584166,13.52,15.0
1779392584183,13.52,15.0
1779392584199,13.52,15.0
1779392584216,13.52,15.0
1779392584232,13.52,16.0
1779392584247,13.51,17.0
1779392584263,13.50,17.0
1779392584278,13.51,17.0
1779392584294,13.52,17.0
1779392584310,13.52,17.0
1779392584328,13.52,17.0
1779392584344,13.51,17.0
1779392584359,13.50,17.0
1779392584375,13.50,17.0
1779392584391,13.50,17.0
1779392584406,13.50,17.0
1779392584423,13.50,17.0
1779392584440,13.50,17.0
1779392584455,13.50,17.0
1779392584470,13.50,17.0
1779392584487,13.50,17.0
1779392584502,13.50,17.0
1779392584519,13.50,17.0
1779392584535,13.49,17.0
1779392584550,13.48,17.0
1779392584568,13.49,17.0
1779392584584,13.50,17.0
1779392584599,13.50,17.0
1779392584614,13.50,17.0
1779392584630,13.50,17.0
1779392584648,13.50,17.0
1779392584663,13.50,17.0
1779392584680,13.50,17.0
1779392584694,13.51,17.0
1779392584712,13.52,17.0
1779392584727,13.52,16.0
1779392584742,13.52,16.0
1779392584759,13.52,16.0
1779392584776,13.52,16.0
1779392584792,13.52,16.0
1779392584807,13.52,16.0
1779392584822,13.52,16.0
1779392584839,13.52,16.0
1779392584855,13.52,16.0
1779392584871,13.52,16.0
1779392584888,13.52,16.0
1779392584903,13.52,16.0
1779392584920,13.52,16.0
1779392584935,13.52,16.0
1779392584951,13.52,16.0
1779392584968,13.52,16.0
1779392584983,13.52,16.0
1779392584999,13.52,16.0
1779392585016,13.52,16.0
1779392585032,13.52,16.0
1779392585047,13.52,16.0
1779392585064,13.52,16.0
1779392585079,13.52,16.0
1779392585095,13.52,16.0
1779392585111,13.51,16.0
1779392585127,13.50,16.0
1779392585143,13.49,16.0
1779392585159,13.48,16.0
1779392585174,13.49,16.0
1779392585190,13.50,17.0
1779392585206,13.50,18.0
1779392585224,13.50,18.0
1779392585240,13.50,18.0
1779392585255,13.50,18.0
1779392585271,13.50,18.0
1779392585286,13.50,18.0
1779392585304,13.50,18.0
1779392585320,13.50,18.0
1779392585334,13.51,18.0
1779392585351,13.52,18.0
1779392585367,13.51,18.0
1779392585382,13.50,18.0
1779392585401,13.50,18.0
1779392585416,13.50,18.0
1779392585431,13.50,18.0
1779392585448,13.50,18.0
1779392585462,13.51,18.0
1779392585480,13.52,18.0
1779392585495,13.51,18.0
1779392585513,13.50,18.0
1779392585527,13.50,18.0
1779392585542,13.50,18.0
1779392585560,13.49,18.0
1779392585575,13.48,18.0
1779392585592,13.49,18.0
1779392585606,13.50,18.0
1779392585623,13.50,18.0
1779392585638,13.50,18.0
1779392585656,13.50,18.0
1779392585671,13.50,18.0
1779392585688,13.50,18.0
1779392585703,13.50,18.0
1779392585720,13.50,18.0
1779392585735,13.50,18.0
1779392585751,13.51,18.0
1779392585768,13.52,18.0
1779392585783,13.52,18.0
1779392585800,13.52,18.0
1779392585815,13.52,18.0
1779392585832,13.52,18.0
1779392585847,13.51,18.0
1779392585864,13.50,18.0
1779392585879,13.50,18.0
1779392585896,13.50,18.0
1779392585913,13.51,18.0
1779392585927,13.52,18.0
1779392585944,13.51,18.0
1779392585959,13.50,18.0
1779392585975,13.51,18.0
1779392585990,13.52,18.0
1779392586006,13.51,18.0
1779392586023,13.50,18.0
1779392586041,13.50,18.0
1779392586056,13.50,18.0
1779392586073,13.51,18.0
1779392586088,13.52,18.0
1779392586104,13.51,18.0
1779392586120,13.50,19.0
1779392586135,13.50,20.0
1779392586152,13.50,20.0
1779392586167,13.50,20.0
1779392586184,13.50,20.0
1779392586200,13.51,20.0
1779392586215,13.52,20.0
1779392586232,13.52,20.0
1779392586247,13.52,20.0
1779392586264,13.51,20.0
1779392586280,13.50,20.0
1779392586297,13.51,20.0
1779392586312,13.52,20.0
1779392586327,13.51,20.0
1779392586345,13.50,20.0
1779392586360,13.51,20.0
1779392586376,13.52,20.0
1779392586391,13.52,20.0
1779392586409,13.52,20.0
1779392586424,13.52,20.0
1779392586439,13.52,20.0
1779392586457,13.51,20.0
1779392586472,13.50,20.0
1779392586487,13.52,20.0
1779392586503,13.54,20.0
1779392586519,13.53,20.0
1779392586537,13.52,20.0
1779392586551,13.52,20.0
1779392586569,13.52,20.0
1779392586584,13.52,20.0
1779392586601,13.52,21.0
1779392586616,13.52,22.0
1779392586632,13.52,22.0
1779392586647,13.52,22.0
1779392586664,13.52,22.0
1779392586680,13.53,22.0
1779392586697,13.54,22.0
1779392586712,13.53,22.0
1779392586727,13.52,22.0
1779392586743,13.52,22.0
1779392586762,13.52,22.0
1779392586776,13.52,22.0
1779392586793,13.52,22.0
1779392586808,13.53,22.0
1779392586823,13.54,22.0
1779392586840,13.53,22.0
1779392586855,13.52,22.0
1779392586871,13.52,22.0
1779392586888,13.52,22.0
1779392586905,13.52,22.0
1779392586920,13.52,22.0
1779392586936,13.52,22.0
1779392586951,13.52,22.0
1779392586968,13.52,22.0
1779392586984,13.52,22.0
1779392587001,13.52,22.0
1779392587016,13.52,22.0
1779392587031,13.52,22.0
1779392587048,13.52,22.0
1779392587065,13.52,22.0
1779392587080,13.52,22.0
1779392587097,13.53,22.0
1779392587113,13.54,22.0
