Time,GPS_ts,fGPS_ts,s_roll,s_pitch,s_yaw,f_roll,f_pitch,f_yaw,flag
1777588228443,  5768.370,  5768.370, 0.958116,-0.723503,167.556350, 0.938279,-0.762367,-0.008635,0
1777588228453,  5768.410,  5768.410, 0.957747,-0.722764,167.595614, 0.937898,-0.761637,-0.008657,0
1777588228463,  5768.410,  5768.410, 0.957747,-0.722764,167.595614, 0.937898,-0.761637,-0.008657,0
1777588228473,  5768.410,  5768.410, 0.957747,-0.722764,167.595614, 0.937898,-0.761637,-0.008657,0
1777588228483,  5768.410,  5768.410, 0.957747,-0.722764,167.595614, 0.937898,-0.761637,-0.008657,0
1777588228494,  5768.460,  5768.450, 0.958339,-0.722440,167.235204, 0.938499,-0.761122,-0.008485,0
1777588228504,  5768.460,  5768.450, 0.958339,-0.722440,167.235204, 0.938499,-0.761122,-0.008485,0
1777588228514,  5768.460,  5768.450, 0.958339,-0.722440,167.235204, 0.938499,-0.761122,-0.008485,0
1777588228524,  5768.460,  5768.450, 0.958339,-0.722440,167.235204, 0.938499,-0.761122,-0.008485,0
1777588228534,  5768.500,  5768.490, 0.958867,-0.722105,167.454100, 0.938835,-0.760569,-0.009058,0
1777588228545,  5768.500,  5768.490, 0.958867,-0.722105,167.454100, 0.938835,-0.760569,-0.009058,0
1777588228555,  5768.500,  5768.490, 0.958867,-0.722105,167.454100, 0.938835,-0.760569,-0.009058,0
1777588228565,  5768.500,  5768.490, 0.958867,-0.722105,167.454100, 0.938835,-0.760569,-0.009058,0
1777588228583,  5768.540,  5768.540, 0.959389,-0.722158,167.390687, 0.939168,-0.761061,-0.008556,0
1777588228593,  5768.540,  5768.540, 0.959389,-0.722158,167.390687, 0.939168,-0.761061,-0.008556,0
1777588228603,  5768.540,  5768.540, 0.959389,-0.722158,167.390687, 0.939168,-0.761061,-0.008556,0
1777588228613,  5768.540,  5768.540, 0.959389,-0.722158,167.390687, 0.939168,-0.761061,-0.008556,0
1777588228623,  5768.580,  5768.580, 0.959554,-0.722099,167.554563, 0.939328,-0.761003,-0.009349,0
1777588228633,  5768.580,  5768.580, 0.959554,-0.722099,167.554563, 0.939328,-0.761003,-0.009349,0
1777588228644,  5768.580,  5768.580, 0.959554,-0.722099,167.554563, 0.939328,-0.761003,-0.009349,0
1777588228654,  5768.580,  5768.580, 0.959554,-0.722099,167.554563, 0.939328,-0.761003,-0.009349,0
1777588228664,  5768.630,  5768.620, 0.960048,-0.722110,167.216631, 0.939675,-0.760782,-0.009624,0
1777588228674,  5768.630,  5768.620, 0.960048,-0.722110,167.216631, 0.939675,-0.760782,-0.009624,0
1777588228684,  5768.630,  5768.620, 0.960048,-0.722110,167.216631, 0.939675,-0.760782,-0.009624,0
1777588228694,  5768.630,  5768.620, 0.960048,-0.722110,167.216631, 0.939675,-0.760782,-0.009624,0
1777588228705,  5768.670,  5768.660, 0.960054,-0.721977,167.516095, 0.939783,-0.760810,-0.010052,0
1777588228715,  5768.670,  5768.660, 0.960054,-0.721977,167.516095, 0.939783,-0.760810,-0.010052,0
1777588228725,  5768.670,  5768.660, 0.960054,-0.721977,167.516095, 0.939783,-0.760810,-0.010052,0
1777588228735,  5768.670,  5768.660, 0.960054,-0.721977,167.516095, 0.939783,-0.760810,-0.010052,0
1777588228753,  5768.710,  5768.710, 0.959452,-0.721835,167.518057, 0.938859,-0.760613,-0.009527,0
1777588228763,  5768.710,  5768.710, 0.959452,-0.721835,167.518057, 0.938859,-0.760613,-0.009527,0
1777588228773,  5768.710,  5768.710, 0.959452,-0.721835,167.518057, 0.938859,-0.760613,-0.009527,0
1777588228783,  5768.710,  5768.710, 0.959452,-0.721835,167.518057, 0.938859,-0.760613,-0.009527,0
1777588228794,  5768.760,  5768.750, 0.959363,-0.721700,167.627166, 0.938637,-0.760705,-0.009847,0
1777588228804,  5768.760,  5768.750, 0.959363,-0.721700,167.627166, 0.938637,-0.760705,-0.009847,0
1777588228814,  5768.760,  5768.750, 0.959363,-0.721700,167.627166, 0.938637,-0.760705,-0.009847,0
1777588228824,  5768.760,  5768.750, 0.959363,-0.721700,167.627166, 0.938637,-0.760705,-0.009847,0
1777588228834,  5768.800,  5768.790, 0.959643,-0.722175,167.476190, 0.939287,-0.761162,-0.009418,0
1777588228844,  5768.800,  5768.790, 0.959643,-0.722175,167.476190, 0.939287,-0.761162,-0.009418,0
1777588228854,  5768.800,  5768.790, 0.959643,-0.722175,167.476190, 0.939287,-0.761162,-0.009418,0
1777588228865,  5768.800,  5768.790, 0.959643,-0.722175,167.476190, 0.939287,-0.761162,-0.009418,0
1777588228882,  5768.840,  5768.840, 0.959727,-0.721225,167.463542, 0.939165,-0.759990,-0.008878,0
1777588228893,  5768.840,  5768.840, 0.959727,-0.721225,167.463542, 0.939165,-0.759990,-0.008878,0
1777588228903,  5768.840,  5768.840, 0.959727,-0.721225,167.463542, 0.939165,-0.759990,-0.008878,0
1777588228913,  5768.840,  5768.840, 0.959727,-0.721225,167.463542, 0.939165,-0.759990,-0.008878,0
1777588228923,  5768.880,  5768.880, 0.960135,-0.720071,167.564549, 0.939567,-0.758837,-0.008753,0
1777588228933,  5768.880,  5768.880, 0.960135,-0.720071,167.564549, 0.939567,-0.758837,-0.008753,0
1777588228943,  5768.880,  5768.880, 0.960135,-0.720071,167.564549, 0.939567,-0.758837,-0.008753,0
1777588228953,  5768.880,  5768.880, 0.960135,-0.720071,167.564549, 0.939567,-0.758837,-0.008753,0
1777588228964,  5768.930,  5768.920, 0.959601,-0.719937,167.464688, 0.939801,-0.758770,-0.008757,0
1777588228974,  5768.930,  5768.920, 0.959601,-0.719937,167.464688, 0.939801,-0.758770,-0.008757,0
1777588228984,  5768.930,  5768.920, 0.959601,-0.719937,167.464688, 0.939801,-0.758770,-0.008757,0
1777588228994,  5768.930,  5768.920, 0.959601,-0.719937,167.464688, 0.939801,-0.758770,-0.008757,0
1777588229005,  5768.970,  5768.960, 0.958808,-0.720109,167.471197, 0.938646,-0.759182,-0.008235,0
1777588229015,  5768.970,  5768.960, 0.958808,-0.720109,167.471197, 0.938646,-0.759182,-0.008235,0
1777588229025,  5768.970,  5768.960, 0.958808,-0.720109,167.471197, 0.938646,-0.759182,-0.008235,0
1777588229035,  5768.970,  5768.960, 0.958808,-0.720109,167.471197, 0.938646,-0.759182,-0.008235,0
1777588229053,  5769.010,  5769.010, 0.958762,-0.720950,167.349266, 0.938603,-0.759841,-0.007904,0
1777588229063,  5769.010,  5769.010, 0.958762,-0.720950,167.349266, 0.938603,-0.759841,-0.007904,0
1777588229073,  5769.010,  5769.010, 0.958762,-0.720950,167.349266, 0.938603,-0.759841,-0.007904,0
1777588229083,  5769.010,  5769.010, 0.958762,-0.720950,167.349266, 0.938603,-0.759841,-0.007904,0
1777588229093,  5769.060,  5769.050, 0.959350,-0.720455,167.375047, 0.938991,-0.759586,-0.008451,0
1777588229104,  5769.060,  5769.050, 0.959350,-0.720455,167.375047, 0.938991,-0.759586,-0.008451,0
1777588229114,  5769.060,  5769.050, 0.959350,-0.720455,167.375047, 0.938991,-0.759586,-0.008451,0
1777588229124,  5769.060,  5769.050, 0.959350,-0.720455,167.375047, 0.938991,-0.759586,-0.008451,0
