FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estFilterState,Timeseries,100Hz,,,,,,
inertial-6286.188861:estFilterStatusFlags,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estGravityVectorZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid,inertial-6286.188861:estFilterState,inertial-6286.188861:estFilterStatusFlags,inertial-6286.188861:estGravityVectorX,inertial-6286.188861:estGravityVectorX:valid,inertial-6286.188861:estGravityVectorY,inertial-6286.188861:estGravityVectorY:valid,inertial-6286.188861:estGravityVectorZ,inertial-6286.188861:estGravityVectorZ:valid
1778106286803089152,-0.0147502776235342,-0.04167766496539116,-0.9948090314865112,-0.000151855027070269,-0.0004164439451415092,-0.009943355806171894,,,,,,,,,,,,,,,,,,,,
1778106286808099072,,,,,,,0.008002335205674171,1,-0.02364321984350681,1,0.04915034770965576,1,0.007906350307166576,1,0.0008417019853368402,1,-0.0005253547569736838,1,3,1,0.1600722521543503,1,0.3922497928142548,1,9.797494888305664,1
1778106286813170176,-0.01495829038321972,-0.04145247861742973,-0.9951608180999756,-0.0001532442838652059,-0.0004113397735636681,-0.00995490700006485,,,,,,,,,,,,,,,,,,,,
1778106286818171904,,,,,,,0.008440209552645683,1,-0.02272176928818226,1,0.04790856316685677,1,0.006979568395763636,1,0.00104605290107429,1,-9.845983004197478e-05,1,3,1,0.1599674820899963,1,0.3929271697998047,1,9.797469139099121,1
1778106286823232000,-0.01489291526377201,-0.0414358414709568,-0.995567798614502,-0.0001478558697272092,-0.0004139299271628261,-0.009961787611246109,,,,,,,,,,,,,,,,,,,,
1778106286833274112,-0.01525175292044878,-0.04177279025316238,-0.9948846697807312,-0.0001567049039294943,-0.0004204477882012725,-0.00994148850440979,,,,,,,,,,,,,,,,,,,,
1778106286843296512,-0.01551101543009281,-0.04228858277201653,-0.9940590858459473,-0.0001578495721332729,-0.0004288507625460625,-0.00993075966835022,,,,,,,,,,,,,,,,,,,,
1778106286852332000,,,,,,,0.007564749103039503,1,-0.02035080455243587,1,0.04198572784662247,1,0.007167123258113861,1,0.0002934010117314756,1,9.880043216980994e-05,1,3,1,0.1599347442388535,1,0.3935852646827698,1,9.797443389892578,1
1778106286853298944,-0.01546138618141413,-0.04226843267679214,-0.994182825088501,-0.0001549495791550726,-0.0004228021134622395,-0.009942198172211647,,,,,,,,,,,,,,,,,,,,
1778106286862317056,,,,,,,0.005798830650746822,1,-0.01842337287962437,1,0.03829722106456757,1,0.008507015183568001,1,-0.0001100594090530649,1,0.0002990356006193906,1,3,1,0.1599897295236588,1,0.3944069147109985,1,9.797409057617188,1
1778106286863281664,-0.01554505061358213,-0.04209714382886887,-0.9947841167449951,-0.0001564178528496996,-0.0004191378538962454,-0.009955351240932941,,,,,,,,,,,,,,,,,,,,
1778106286872282624,,,,,,,-0.0008337667677551508,1,-0.01547142956405878,1,0.043475441634655,1,0.006256946828216314,1,0.0002245095674879849,1,0.0003340395051054657,1,3,1,0.1600180268287659,1,0.3950358927249908,1,9.797383308410645,1
1778106286873244672,-0.01572390832006931,-0.04197442531585693,-0.9951572418212891,-0.0001595279900357127,-0.0004173559136688709,-0.009956821799278259,,,,,,,,,,,,,,,,,,,,
1778106286882228224,,,,,,,-0.002150065498426557,1,-0.01626092940568924,1,0.04032139852643013,1,0.00636632926762104,1,0.001207233173772693,1,-0.0003731994947884232,1,3,1,0.1598987877368927,1,0.3956429660320282,1,9.797361373901367,1
1778106286883188224,-0.01640170067548752,-0.04174748435616493,-0.9946262836456299,-0.0001714966056169942,-0.0004157432995270938,-0.009939812123775482,,,,,,,,,,,,,,,,,,,,
1778106286892154368,,,,,,,-0.0006982618942856789,1,-0.02133301086723804,1,0.03110518306493759,1,0.00709571922197938,1,0.001422506524249911,1,-0.0005592296947725117,1,3,1,0.1597258895635605,1,0.3963692784309387,1,9.797334671020508,1
