unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779393656284,417674.284000000,3,0.999110103,0.012268771,0.040198009,-0.003542354,1,0
1779393656294,417674.294000000,3,0.999111056,0.012357998,0.040148109,-0.003543672,1,0
1779393656314,417674.314000000,3,0.999110281,0.012411220,0.040150885,-0.003544326,1,0
1779393656324,417674.324000000,3,0.999109447,0.012347580,0.040191531,-0.003540090,1,0
1779393656334,417674.334000000,3,0.999109864,0.012341090,0.040182944,-0.003536705,1,0
1779393656354,417674.354000000,3,0.999111116,0.012486791,0.040105224,-0.003546953,1,0
1779393656364,417674.364000000,3,0.999110639,0.012466276,0.040123511,-0.003546657,1,0
1779393656384,417674.384000000,3,0.999110699,0.012418507,0.040137678,-0.003538163,1,0
1779393656394,417674.394000000,3,0.999111176,0.012501583,0.040100038,-0.003540976,1,0
1779393656414,417674.414000000,3,0.999109805,0.012508043,0.040130772,-0.003552259,1,0
1779393656424,417674.424000000,3,0.999109030,0.012430300,0.040175956,-0.003545160,1,0
1779393656444,417674.444000000,3,0.999111414,0.012491497,0.040096838,-0.003541994,1,0
1779393656454,417674.454000000,3,0.999112010,0.012538600,0.040068455,-0.003542313,1,0
1779393656474,417674.474000000,3,0.999110878,0.012350124,0.040155947,-0.003524026,1,0
1779393656484,417674.484000000,3,0.999111056,0.012306574,0.040165447,-0.003513490,1,0
1779393656494,417674.494000000,3,0.999111593,0.012366745,0.040134322,-0.003513638,1,0
1779393656514,417674.514000000,3,0.999110699,0.012407661,0.040143039,-0.003515434,1,0
1779393656524,417674.524000000,3,0.999110281,0.012329762,0.040178020,-0.003511999,1,0
1779393656544,417674.544000000,3,0.999111533,0.012343594,0.040141642,-0.003517079,1,0
1779393656554,417674.554000000,3,0.999111354,0.012374153,0.040137582,-0.003521506,1,0
1779393656574,417674.574000000,3,0.999108732,0.012247145,0.040241487,-0.003518827,1,0
1779393656584,417674.584000000,3,0.999109387,0.012259987,0.040221892,-0.003518205,1,0
1779393656604,417674.604000000,3,0.999111116,0.012442474,0.040119749,-0.003540255,1,0
1779393656614,417674.614000000,3,0.999110758,0.012371792,0.040150125,-0.003544385,1,0
1779393656624,417674.624000000,3,0.999110162,0.012235995,0.040207781,-0.003537893,1,0
1779393656634,417674.634000000,3,0.999110460,0.012190799,0.040214539,-0.003535119,1,0
1779393656644,417674.644000000,3,0.999110937,0.012279289,0.040174689,-0.003543023,1,0
1779393656654,417674.654000000,3,0.999110758,0.012369446,0.040150050,-0.003552441,1,0
1779393656674,417674.674000000,3,0.999108434,0.012263282,0.040240444,-0.003553713,1,0
1779393656684,417674.684000000,3,0.999108791,0.012222840,0.040244047,-0.003553616,1,0
1779393656704,417674.704000000,3,0.999110699,0.012371133,0.040149864,-0.003566718,1,0
1779393656714,417674.714000000,3,0.999110043,0.012357260,0.040171359,-0.003566622,1,0
1779393656734,417674.734000000,3,0.999108911,0.012272608,0.040225349,-0.003555131,1,0
1779393656744,417674.744000000,3,0.999109626,0.012372561,0.040177416,-0.003558271,1,0
