unix_time_ms_sensor,GPS_ts_week,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,unix_time_ms_filter,fGPS_ts_week,fGPS_ts_tow,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag_sensor,flag_filter
1779139782500.000000000,2419,163800.500000000,0.030182395,0.032229509,-0.999935865,0.000300373,0.000323663,-0.010000004,1779139782500.000000000,2419,163800.500000000,0.013838657,0.023109218,-0.007809655,1,-0.000050845,-0.000089915,-0.000435252,1,-0.282146335,-0.292956293,9.798212051,1,0,0
1779139782520.000000000,2419,163800.520000000,0.031572938,0.029460322,-0.999033749,0.000317315,0.000293381,-0.009995059,1779139782520.000000000,2419,163800.520000000,0.027418183,-0.004015653,0.001036141,1,-0.000102382,0.000527981,-0.000507192,1,-0.282222599,-0.292926401,9.798210144,1,0,0
1779139782530.000000000,2419,163800.530000000,0.031295173,0.030516814,-0.999383330,0.000315379,0.000301580,-0.009988599,1779139782530.000000000,2419,163800.530000000,0.024682768,0.006336099,-0.002392972,1,-0.000137605,-0.000310329,0.000003664,1,-0.282208383,-0.292935938,9.798210144,1,0,0
1779139782540.000000000,2419,163800.540000000,0.031139262,0.031076167,-0.998589814,0.000312485,0.000311184,-0.009990289,1779139782540.000000000,2419,163800.540000000,0.023220796,0.011805695,0.005390346,1,0.000250855,-0.000916318,-0.000513834,1,-0.282122016,-0.292940050,9.798213005,1,0,0
1779139782560.000000000,2419,163800.560000000,0.030039009,0.030471127,-0.998581231,0.000299662,0.000302653,-0.009985238,1779139782560.000000000,2419,163800.560000000,0.012503235,0.005906392,0.005477245,1,0.000447620,-0.000514048,-0.000415087,1,-0.282062411,-0.292899698,9.798215866,1,0,0
1779139782570.000000000,2419,163800.570000000,0.029351141,0.029779388,-0.999357045,0.000295161,0.000298550,-0.009994474,1779139782570.000000000,2419,163800.570000000,0.005851123,-0.000840190,-0.002126706,1,0.000926702,-0.000720232,0.000187515,1,-0.281962961,-0.292847157,9.798220634,1,0,0
1779139782590.000000000,2419,163800.590000000,0.027193796,0.029631607,-0.998314857,0.000274404,0.000301032,-0.009987536,1779139782590.000000000,2419,163800.590000000,-0.015208488,-0.002196619,0.008098956,1,0.000597461,0.000445167,0.000432118,1,-0.281902820,-0.292764395,9.798224449,1,0,0
1779139782600.000000000,2419,163800.600000000,0.026893929,0.030279409,-0.999961853,0.000268813,0.000304263,-0.010000428,1779139782600.000000000,2419,163800.600000000,-0.018188294,0.004132018,-0.008054060,1,-0.000255811,0.000013895,-0.001168438,1,-0.281926990,-0.292816579,9.798222542,1,0,0
1779139782620.000000000,2419,163800.620000000,0.027198218,0.029447619,-1.000092387,0.000272379,0.000295979,-0.010003092,1779139782620.000000000,2419,163800.620000000,-0.015218854,-0.004081735,-0.009336008,1,-0.001035787,0.000380375,-0.000210574,1,-0.281953931,-0.292896748,9.798218727,1,0,0
1779139782630.000000000,2419,163800.630000000,0.027751191,0.029176692,-0.999404967,0.000277448,0.000288677,-0.009989390,1779139782630.000000000,2419,163800.630000000,-0.009809879,-0.006769144,-0.002596119,1,-0.000165416,0.000259323,-0.000668022,1,-0.281963557,-0.292900503,9.798218727,1,0,0
1779139782650.000000000,2419,163800.650000000,0.029313918,0.028721040,-0.999656737,0.000289932,0.000288224,-0.009995599,1779139782650.000000000,2419,163800.650000000,0.005614733,-0.011153031,-0.005060173,1,-0.000142753,0.000603564,-0.000113517,1,-0.281865478,-0.292813569,9.798224449,1,0,0
1779139782660.000000000,2419,163800.660000000,0.030296491,0.029413098,-0.999294698,0.000301108,0.000294735,-0.009995206,1779139782660.000000000,2419,163800.660000000,0.015229667,-0.004340756,-0.001509218,1,0.000591619,-0.000457256,0.000440673,1,-0.281862974,-0.292765796,9.798225403,1,0,0
1779139782670.000000000,2419,163800.670000000,0.030748064,0.031359073,-0.999122620,0.000306271,0.000312906,-0.009993596,1779139782670.000000000,2419,163800.670000000,0.019717028,0.014784489,0.000181014,1,0.000552173,-0.000237855,-0.000394480,1,-0.281810641,-0.292726099,9.798228264,1,0,0
1779139782690.000000000,2419,163800.690000000,0.029622065,0.031476807,-0.998660326,0.000297063,0.000318174,-0.009993593,1779139782690.000000000,2419,163800.690000000,0.008697296,0.015976103,0.004716360,1,0.000138012,0.000190854,-0.000723441,1,-0.281801224,-0.292702258,9.798229218,1,0,0
1779139782700.000000000,2419,163800.700000000,0.029055620,0.029563824,-1.000334740,0.000289640,0.000298160,-0.009997004,1779139782700.000000000,2419,163800.700000000,0.003083641,-0.002830144,-0.011706875,1,-0.001000087,0.000353437,-0.001229840,1,-0.281864554,-0.292784542,9.798225403,1,0,0
1779139782720.000000000,2419,163800.720000000,0.027521623,0.029376101,-0.999188006,0.000277356,0.000292892,-0.009990032,1779139782720.000000000,2419,163800.720000000,-0.011925181,-0.004706399,-0.000461809,1,0.000249769,-0.000101314,-0.000873506,1,-0.281816125,-0.292780548,9.798226357,1,0,0
1779139782730.000000000,2419,163800.730000000,0.027838651,0.027653476,-0.998931646,0.000276722,0.000279638,-0.009987799,1779139782730.000000000,2419,163800.730000000,-0.008784004,-0.021577241,0.002054468,1,0.000044477,-0.000608246,-0.000269748,1,-0.281768709,-0.292764097,9.798228264,1,0,0
1779139782750.000000000,2419,163800.750000000,0.027853422,0.027426157,-0.999113798,0.000278711,0.000270787,-0.009989365,1779139782750.000000000,2419,163800.750000000,-0.008550218,-0.023799866,0.000270366,1,-0.000355628,-0.000001078,0.000112621,1,-0.281699061,-0.292769611,9.798230171,1,0,0
1779139782760.000000000,2419,163800.760000000,0.027786616,0.028383689,-0.998712778,0.000276595,0.000286018,-0.009991048,1779139782760.000000000,2419,163800.760000000,-0.009227553,-0.014471432,0.004200348,1,-0.000588067,-0.000223564,0.000697518,1,-0.281714886,-0.292838067,9.798227310,1,0,0
1779139782780.000000000,2419,163800.780000000,0.027288267,0.029220851,-0.999095678,0.000272809,0.000293713,-0.009991399,1779139782780.000000000,2419,163800.780000000,-0.014094278,-0.006275993,0.000446167,1,-0.000314172,-0.000159295,0.000639434,1,-0.281696409,-0.292843878,9.798228264,1,0,0
1779139782790.000000000,2419,163800.790000000,0.027639026,0.030164577,-1.000320554,0.000275375,0.000299535,-0.010002075,1779139782790.000000000,2419,163800.790000000,-0.010623844,0.002971606,-0.011565520,1,0.000395084,-0.000491449,0.000598237,1,-0.281655341,-0.292829007,9.798230171,1,0,0
1779139782810.000000000,2419,163800.810000000,0.029160419,0.030927856,-0.999791205,0.000289455,0.000307942,-0.009999643,1779139782810.000000000,2419,163800.810000000,0.004317574,0.010332808,-0.006377286,1,-0.000997314,0.000552880,0.000709292,1,-0.281666368,-0.292996347,9.798224449,1,0,0
1779139782820.000000000,2419,163800.820000000,0.029822905,0.032289267,-0.998591363,0.000296556,0.000322506,-0.009987234,1779139782820.000000000,2419,163800.820000000,0.010855716,0.023580091,0.005387436,1,-0.000551561,-0.001167518,-0.000112111,1,-0.281570584,-0.293086797,9.798224449,1,0,0
1779139782830.000000000,2419,163800.830000000,0.029657049,0.032448724,-0.998906851,0.000299384,0.000326668,-0.009990375,1779139782830.000000000,2419,163800.830000000,0.009275881,0.025136614,0.002294451,1,-0.000540271,0.000227680,-0.000055343,1,-0.281567484,-0.293093592,9.798224449,1,0,0
1779139782850.000000000,2419,163800.850000000,0.030472692,0.030853244,-0.999635875,0.000303398,0.000309345,-0.009993932,1779139782850.000000000,2419,163800.850000000,0.017210413,0.009543071,-0.004855155,1,0.000436242,0.000410310,-0.000687439,1,-0.281635702,-0.293009609,9.798224449,1,0,0
1779139782860.000000000,2419,163800.860000000,0.030389234,0.030451167,-0.999034941,0.000305107,0.000304470,-0.009994119,1779139782860.000000000,2419,163800.860000000,0.016373845,0.005606571,0.001037845,1,0.000842245,0.000283800,-0.000907697,1,-0.281650692,-0.292991847,9.798225403,1,0,0
1779139782880.000000000,2419,163800.880000000,0.029101461,0.028239470,-0.998973727,0.000290906,0.000286169,-0.009994535,1779139782880.000000000,2419,163800.880000000,0.003774123,-0.016064480,0.001639394,1,-0.000155614,-0.000525648,-0.001033930,1,-0.281596392,-0.293004870,9.798226357,1,0,0
1779139782890.000000000,2419,163800.890000000,0.028583976,0.029100241,-0.999311388,0.000287883,0.000287205,-0.009988698,1779139782890.000000000,2419,163800.890000000,-0.001307206,-0.007681757,-0.001673684,1,-0.000045499,0.000505529,-0.000779832,1,-0.281635314,-0.293059766,9.798223495,1,0,0
1779139782910.000000000,2419,163800.910000000,0.027473493,0.029672386,-0.999665439,0.000275167,0.000294201,-0.009991690,1779139782910.000000000,2419,163800.910000000,-0.012220942,-0.002028679,-0.005144823,1,0.000472498,0.000028982,-0.000488457,1,-0.281644344,-0.293001115,9.798224449,1,0,0
1779139782920.000000000,2419,163800.920000000,0.027566256,0.030022237,-0.999273181,0.000275375,0.000300019,-0.009992668,1779139782920.000000000,2419,163800.920000000,-0.011406345,0.001412173,-0.001300734,1,0.000144963,0.001554376,0.000356442,1,-0.281787813,-0.293000609,9.798220634,1,0,0
1779139782940.000000000,2419,163800.940000000,0.027947087,0.030004960,-0.999759376,0.000277020,0.000298552,-0.009995476,1779139782940.000000000,2419,163800.940000000,-0.007846500,0.001181951,-0.006076067,1,-0.000540600,0.000326734,-0.000351588,1,-0.281923681,-0.293083370,9.798213959,1,0,0
1779139782950.000000000,2419,163800.950000000,0.028254997,0.029358342,-0.999025762,0.000282471,0.000296459,-0.009992281,1779139782950.000000000,2419,163800.950000000,-0.004841078,-0.005155532,0.001118148,1,0.000406094,0.000174028,-0.000543757,1,-0.281932890,-0.293050349,9.798214912,1,0,0
1779139782960.000000000,2419,163800.960000000,0.028785810,0.029871611,-1.000324488,0.000287169,0.000296945,-0.010000824,1779139782960.000000000,2419,163800.960000000,0.000400972,-0.000158116,-0.011617772,1,-0.000842693,-0.000238140,0.000049231,1,-0.281884044,-0.293124825,9.798213959,1,0,0
1779139782980.000000000,2419,163800.980000000,0.029957326,0.029351544,-0.999467492,0.000298490,0.000292165,-0.009995388,1779139782980.000000000,2419,163800.980000000,0.011956031,-0.005171177,-0.003209872,1,0.000308151,-0.000607801,0.000165905,1,-0.281806201,-0.293001741,9.798220634,1,0,0
1779139782990.000000000,2419,163800.990000000,0.030205728,0.028993374,-0.998890936,0.000298936,0.000289084,-0.009984786,1779139782990.000000000,2419,163800.990000000,0.014426843,-0.008708157,0.002445391,1,-0.000691976,-0.000209396,0.000176801,1,-0.281783819,-0.293057442,9.798218727,1,0,0
1779139783010.000000000,2419,163801.010000000,0.029757315,0.031311408,-0.999266326,0.000296549,0.000311042,-0.009990669,1779139783010.000000000,2419,163801.010000000,0.010030786,0.014035037,-0.001235673,1,-0.000138437,-0.000106915,0.000830332,1,-0.281786233,-0.293028593,9.798219681,1,0,0
