unix_time_ms,GPS_ts_week,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag_sensor,flag_filter
1779139812190.000000000,2419,163830.190000000,3,0.997353494,-0.013088952,-0.004365379,0.071383603,1,1
1779139812200.000000000,2419,163830.200000000,3,0.997379184,-0.013188691,-0.004376395,0.071005605,1,1
1779139812220.000000000,2419,163830.220000000,3,0.997384012,-0.013249287,-0.004276667,0.070931971,1,1
1779139812230.000000000,2419,163830.230000000,3,0.997275174,-0.013279452,-0.004334392,0.072437488,1,1
1779139812250.000000000,2419,163830.250000000,3,0.997301221,-0.013367578,-0.004498239,0.072051726,1,1
1779139812260.000000000,2419,163830.260000000,3,0.997365355,-0.013367731,-0.004482128,0.071159445,1,1
1779139812280.000000000,2419,163830.280000000,3,0.997361660,-0.013300409,-0.004813081,0.071201928,1,1
1779139812290.000000000,2419,163830.290000000,3,0.997300446,-0.013189922,-0.004867968,0.072071090,1,1
1779139812300.000000000,2419,163830.300000000,3,0.997234523,-0.013059330,-0.004980176,0.072993509,1,1
1779139812320.000000000,2419,163830.320000000,3,0.997262239,-0.013000851,-0.005305338,0.072601259,1,1
1779139812330.000000000,2419,163830.330000000,3,0.997218907,-0.013139883,-0.005353816,0.073164880,1,1
1779139812350.000000000,2419,163830.350000000,3,0.997235000,-0.013566757,-0.005733125,0.072838992,1,1
1779139812360.000000000,2419,163830.360000000,3,0.997431159,-0.013698861,-0.005757976,0.070073940,1,1
1779139812380.000000000,2419,163830.380000000,3,0.997339964,-0.013744106,-0.006220594,0.071313038,1,1
1779139812390.000000000,2419,163830.390000000,3,0.997181296,-0.013696190,-0.006430131,0.073488787,1,1
1779139812410.000000000,2419,163830.410000000,3,0.997422755,-0.013597308,-0.006885258,0.070111208,1,1
1779139812420.000000000,2419,163830.420000000,3,0.997356415,-0.013473376,-0.007159125,0.071045771,1,1
1779139812430.000000000,2419,163830.430000000,3,0.997392535,-0.013424667,-0.007463279,0.070514284,1,1
1779139812450.000000000,2419,163830.450000000,3,0.997351885,-0.013259829,-0.008121205,0.071044810,1,1
1779139812460.000000000,2419,163830.460000000,3,0.997326791,-0.013214229,-0.008522250,0.071358077,1,1
1779139812480.000000000,2419,163830.480000000,3,0.997375488,-0.012979803,-0.008961530,0.070664592,1,1
1779139812490.000000000,2419,163830.490000000,3,0.997497082,-0.012889554,-0.009294212,0.068899341,1,1
1779139812510.000000000,2419,163830.510000000,3,0.997461736,-0.012744337,-0.010147996,0.069316357,1,1
1779139812520.000000000,2419,163830.520000000,3,0.997555971,-0.012750888,-0.010588145,0.067878738,1,1
1779139812540.000000000,2419,163830.540000000,3,0.997494996,-0.012990638,-0.011598581,0.068560898,1,1
1779139812570.000000000,2419,163830.570000000,3,0.997540534,-0.013494658,-0.012642986,0.067609459,1,1
1779139812580.000000000,2419,163830.580000000,3,0.997525036,-0.013610771,-0.013050964,0.067736402,1,1
1779139812590.000000000,2419,163830.590000000,3,0.997528374,-0.013654874,-0.013570585,0.067576781,1,1
1779139812610.000000000,2419,163830.610000000,3,0.997463465,-0.013706761,-0.014348312,0.068358563,1,1
1779139812620.000000000,2419,163830.620000000,3,0.997489691,-0.013759506,-0.014833747,0.067859776,1,1
1779139812640.000000000,2419,163830.640000000,3,0.997470081,-0.013847584,-0.015095491,0.068072319,1,1
1779139812650.000000000,2419,163830.650000000,3,0.997641206,-0.013692036,-0.015273076,0.065508649,1,1
1779139812670.000000000,2419,163830.670000000,3,0.997470796,-0.013221452,-0.015766583,0.068033919,1,1
1779139812680.000000000,2419,163830.680000000,3,0.997583151,-0.013176508,-0.015709806,0.066388592,1,1
1779139812700.000000000,2419,163830.700000000,3,0.997505784,-0.012800240,-0.015899502,0.067569442,1,1
1779139812710.000000000,2419,163830.710000000,3,0.997452796,-0.012595962,-0.016086955,0.068340525,1,1
1779139812720.000000000,2419,163830.720000000,3,0.997479081,-0.012533126,-0.015893094,0.068013318,1,1
1779139812740.000000000,2419,163830.740000000,3,0.997509181,-0.012508214,-0.015630031,0.067637146,1,1
1779139812750.000000000,2419,163830.750000000,3,0.997450113,-0.012636453,-0.015693389,0.068464540,1,1
1779139812770.000000000,2419,163830.770000000,3,0.997455239,-0.013247408,-0.015318879,0.068359129,1,1
1779139812780.000000000,2419,163830.780000000,3,0.997532070,-0.013568881,-0.014841826,0.067270920,1,1
1779139812800.000000000,2419,163830.800000000,3,0.997489929,-0.013634469,-0.014205944,0.068015710,1,1
1779139812810.000000000,2419,163830.810000000,3,0.997415125,-0.013609355,-0.013823788,0.069187008,1,1
1779139812830.000000000,2419,163830.830000000,3,0.997502327,-0.013419888,-0.013104524,0.068098314,1,1
1779139812840.000000000,2419,163830.840000000,3,0.997365654,-0.013361628,-0.012738005,0.070150480,1,1
1779139812860.000000000,2419,163830.860000000,3,0.997567773,-0.013280535,-0.011794824,0.067402728,1,1
1779139812870.000000000,2419,163830.870000000,3,0.997487128,-0.013380565,-0.011454646,0.068624415,1,1
1779139812880.000000000,2419,163830.880000000,3,0.997588933,-0.013572148,-0.011145532,0.067140892,1,1
1779139812900.000000000,2419,163830.900000000,3,0.997486591,-0.014053726,-0.010604024,0.068632849,1,1
1779139812910.000000000,2419,163830.910000000,3,0.997371495,-0.014133742,-0.010352611,0.070307985,1,1
1779139812930.000000000,2419,163830.930000000,3,0.997433126,-0.014019296,-0.010029367,0.069498353,1,1
1779139812940.000000000,2419,163830.940000000,3,0.997453332,-0.013918806,-0.009773618,0.069264784,1,1
1779139812960.000000000,2419,163830.960000000,3,0.997472346,-0.013844961,-0.009345660,0.069064863,1,1
1779139812970.000000000,2419,163830.970000000,3,0.997280359,-0.013833103,-0.009412033,0.071777962,1,1
1779139812990.000000000,2419,163830.990000000,3,0.997207463,-0.014074865,-0.009374917,0.072740644,1,1
1779139813000.000000000,2419,163831.000000000,3,0.997246683,-0.014107260,-0.009342344,0.072200343,1,1
1779139813010.000000000,2419,163831.010000000,3,0.997180998,-0.014014254,-0.009502757,0.073098294,1,1
1779139813020.000000000,2419,163831.020000000,3,0.997171342,-0.013813430,-0.009723734,0.073239930,1,1
1779139813030.000000000,2419,163831.030000000,3,0.997070134,-0.013587471,-0.009981032,0.074612468,1,1
1779139813040.000000000,2419,163831.040000000,3,0.996935487,-0.013356033,-0.010128239,0.076411016,1,1
1779139813060.000000000,2419,163831.060000000,3,0.997083783,-0.012665550,-0.010526762,0.074517041,1,1
1779139813070.000000000,2419,163831.070000000,3,0.996990383,-0.012392728,-0.010798370,0.075763278,1,1
1779139813090.000000000,2419,163831.090000000,3,0.996895492,-0.012129012,-0.011423859,0.076953314,1,1
1779139813100.000000000,2419,163831.100000000,3,0.996833742,-0.012156799,-0.011779276,0.077692017,1,1
1779139813120.000000000,2419,163831.120000000,3,0.996869624,-0.012605394,-0.012561759,0.077034436,1,1
1779139813130.000000000,2419,163831.130000000,3,0.996824145,-0.012657347,-0.012778132,0.077576861,1,1
1779139813150.000000000,2419,163831.150000000,3,0.996817231,-0.012606355,-0.013390575,0.077570900,1,1
1779139813160.000000000,2419,163831.160000000,3,0.996913731,-0.012547708,-0.013605352,0.076292217,1,1
1779139813170.000000000,2419,163831.170000000,3,0.996828735,-0.012451644,-0.014001889,0.077339500,1,1
1779139813190.000000000,2419,163831.190000000,3,0.996685088,-0.012107526,-0.014331905,0.079164006,1,1
1779139813200.000000000,2419,163831.200000000,3,0.996725380,-0.012081038,-0.014390244,0.078648776,1,1
1779139813220.000000000,2419,163831.220000000,3,0.996649742,-0.012171696,-0.014435389,0.079578817,1,1
1779139813230.000000000,2419,163831.230000000,3,0.996641934,-0.012294482,-0.014496998,0.079646520,1,1
1779139813250.000000000,2419,163831.250000000,3,0.996835053,-0.012585616,-0.014369203,0.077169396,1,1
1779139813260.000000000,2419,163831.260000000,3,0.996656299,-0.012642178,-0.014398504,0.079429939,1,1
1779139813280.000000000,2419,163831.280000000,3,0.996681631,-0.012679058,-0.014175602,0.079145700,1,1
1779139813290.000000000,2419,163831.290000000,3,0.996613085,-0.012571109,-0.014033532,0.080047041,1,1
1779139813310.000000000,2419,163831.310000000,3,0.996954262,-0.012392761,-0.013902322,0.075732619,1,1
1779139813320.000000000,2419,163831.320000000,3,0.996871054,-0.012374977,-0.013903310,0.076823018,1,1
1779139813330.000000000,2419,163831.330000000,3,0.996799350,-0.012395567,-0.013813172,0.077759773,1,1
1779139813350.000000000,2419,163831.350000000,3,0.996888518,-0.012411527,-0.013739673,0.076619826,1,1
1779139813360.000000000,2419,163831.360000000,3,0.996919692,-0.012383443,-0.013806319,0.076204784,1,1
1779139813370.000000000,2419,163831.370000000,3,0.996881783,-0.012382561,-0.013790481,0.076702408,1,1
