unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779139797260.000000000,2419,163815.260000000,3,0.999800980,-0.014556522,0.013265145,-0.003187167,1,1,1
1779139797280.000000000,2419,163815.280000000,3,0.999801457,-0.014575962,0.013223741,-0.003109519,1,1,1
1779139797290.000000000,2419,163815.290000000,3,0.999799907,-0.014548454,0.013373012,-0.003113968,1,1,1
1779139797310.000000000,2419,163815.310000000,3,0.999800563,-0.014569087,0.013284567,-0.003172687,1,1,1
1779139797320.000000000,2419,163815.320000000,3,0.999801278,-0.014539637,0.013250113,-0.003223870,1,1,1
1779139797340.000000000,2419,163815.340000000,3,0.999800563,-0.014563343,0.013246625,-0.003350333,1,1,1
1779139797350.000000000,2419,163815.350000000,3,0.999797702,-0.014673688,0.013345546,-0.003335287,1,1,1
1779139797370.000000000,2419,163815.370000000,3,0.999797881,-0.014666496,0.013365804,-0.003225458,1,1,1
1779139797380.000000000,2419,163815.380000000,3,0.999799728,-0.014577644,0.013319887,-0.003248088,1,1,1
1779139797400.000000000,2419,163815.400000000,3,0.999800205,-0.014497744,0.013365515,-0.003270742,1,1,1
1779139797410.000000000,2419,163815.410000000,3,0.999799430,-0.014559528,0.013366370,-0.003240868,1,1,1
1779139797420.000000000,2419,163815.420000000,3,0.999799132,-0.014601622,0.013341141,-0.003247441,1,1,1
1779139797440.000000000,2419,163815.440000000,3,0.999800086,-0.014541565,0.013298711,-0.003379871,1,1,1
1779139797450.000000000,2419,163815.450000000,3,0.999799430,-0.014553156,0.013316160,-0.003459633,1,1,1
1779139797470.000000000,2419,163815.470000000,3,0.999800503,-0.014460451,0.013309617,-0.003571030,1,1,1
1779139797480.000000000,2419,163815.480000000,3,0.999805272,-0.014303985,0.013102553,-0.003623757,1,1,1
1779139797500.000000000,2419,163815.500000000,3,0.999801099,-0.014409928,0.013316058,-0.003573671,1,1,1
1779139797510.000000000,2419,163815.510000000,3,0.999805510,-0.014520205,0.012876279,-0.003509817,1,1,1
1779139797530.000000000,2419,163815.530000000,3,0.999803662,-0.014482743,0.013095981,-0.003372304,1,1,1
1779139797540.000000000,2419,163815.540000000,3,0.999801993,-0.014562326,0.013143129,-0.003339476,1,1,1
1779139797550.000000000,2419,163815.550000000,3,0.999802351,-0.014467580,0.013222993,-0.003328984,1,1,1
1779139797570.000000000,2419,163815.570000000,3,0.999803901,-0.014449052,0.013127849,-0.003326826,1,1,1
1779139797580.000000000,2419,163815.580000000,3,0.999798238,-0.014616759,0.013373687,-0.003309506,1,1,1
1779139797600.000000000,2419,163815.600000000,3,0.999799132,-0.014645559,0.013280884,-0.003289483,1,1,1
1779139797610.000000000,2419,163815.610000000,3,0.999800861,-0.014591296,0.013201491,-0.003319253,1,1,1
1779139797630.000000000,2419,163815.630000000,3,0.999801815,-0.014495407,0.013218310,-0.003393654,1,1,1
1779139797640.000000000,2419,163815.640000000,3,0.999801636,-0.014436253,0.013288253,-0.003423565,1,1,1
1779139797660.000000000,2419,163815.660000000,3,0.999803662,-0.014284483,0.013273777,-0.003513333,1,1,1
1779139797670.000000000,2419,163815.670000000,3,0.999806166,-0.014213540,0.013146376,-0.003570579,1,1,1
1779139797690.000000000,2419,163815.690000000,3,0.999808848,-0.013989650,0.013149476,-0.003687015,1,1,1
1779139797700.000000000,2419,163815.700000000,3,0.999810755,-0.013926432,0.013054383,-0.003752754,1,1,1
1779139797710.000000000,2419,163815.710000000,3,0.999812961,-0.013841112,0.012950432,-0.003837945,1,1,1
1779139797730.000000000,2419,163815.730000000,3,0.999819756,-0.013700526,0.012547824,-0.003911505,1,1,1
1779139797740.000000000,2419,163815.740000000,3,0.999823332,-0.013572262,0.012416358,-0.003868698,1,1,1
1779139797760.000000000,2419,163815.760000000,3,0.999825954,-0.013339864,0.012485526,-0.003769801,1,1,1
1779139797770.000000000,2419,163815.770000000,3,0.999826670,-0.013252177,0.012516739,-0.003790952,1,1,1
1779139797790.000000000,2419,163815.790000000,3,0.999835253,-0.012728778,0.012332366,-0.003925185,1,1,1
1779139797800.000000000,2419,163815.800000000,3,0.999841392,-0.012413342,0.012126433,-0.004013471,1,1,1
1779139797820.000000000,2419,163815.820000000,3,0.999852479,-0.011756780,0.011775329,-0.004263136,1,1,1
1779139797830.000000000,2419,163815.830000000,3,0.999856710,-0.011484498,0.011622170,-0.004428694,1,1,1
1779139797840.000000000,2419,163815.840000000,3,0.999861181,-0.011239169,0.011397824,-0.004630554,1,1,1
1779139797860.000000000,2419,163815.860000000,3,0.999867082,-0.011029865,0.010843995,-0.005156927,1,1,1
1779139797870.000000000,2419,163815.870000000,3,0.999868810,-0.010998455,0.010549158,-0.005486075,1,1,1
1779139797890.000000000,2419,163815.890000000,3,0.999869227,-0.011077082,0.009953674,-0.006309466,1,1,1
1779139797900.000000000,2419,163815.900000000,3,0.999866188,-0.011405640,0.009556841,-0.006799334,1,1,1
1779139797920.000000000,2419,163815.920000000,3,0.999854565,-0.011866685,0.009209347,-0.008079155,1,1,1
1779139797930.000000000,2419,163815.930000000,3,0.999847412,-0.012017491,0.009145017,-0.008781086,1,1,1
1779139797950.000000000,2419,163815.950000000,3,0.999831975,-0.012246979,0.009011637,-0.010235525,1,1,1
1779139797960.000000000,2419,163815.960000000,3,0.999824643,-0.012230802,0.008973265,-0.010982834,1,1,1
1779139797980.000000000,2419,163815.980000000,3,0.999810517,-0.011832184,0.008990783,-0.012572534,1,1,1
1779139797990.000000000,2419,163815.990000000,3,0.999801219,-0.011614044,0.009029266,-0.013456714,1,1,1
1779139798000.000000000,2419,163816.000000000,3,0.999787688,-0.011523774,0.009137110,-0.014432773,1,1,1
1779139798020.000000000,2419,163816.020000000,3,0.999750972,-0.011608624,0.009214362,-0.016682174,1,1,1
1779139798030.000000000,2419,163816.030000000,3,0.999727368,-0.011771820,0.009212006,-0.017936602,1,1,1
1779139798050.000000000,2419,163816.050000000,3,0.999669790,-0.012203287,0.009239248,-0.020641753,1,1,1
1779139798060.000000000,2419,163816.060000000,3,0.999638796,-0.012369135,0.009141531,-0.022038545,1,1,1
1779139798080.000000000,2419,163816.080000000,3,0.999573052,-0.012561590,0.008904528,-0.024830889,1,1,1
1779139798090.000000000,2419,163816.090000000,3,0.999539196,-0.012579208,0.008797926,-0.026185855,1,1,1
1779139798110.000000000,2419,163816.110000000,3,0.999470294,-0.012497063,0.008334822,-0.028870517,1,1,1
1779139798120.000000000,2419,163816.120000000,3,0.999433279,-0.012456014,0.008060852,-0.030215601,1,1,1
1779139798130.000000000,2419,163816.130000000,3,0.999394119,-0.012408721,0.007911840,-0.031540573,1,1,1
1779139798140.000000000,2419,163816.140000000,3,0.999354064,-0.012411013,0.007582562,-0.032862619,1,1,1
1779139798150.000000000,2419,163816.150000000,3,0.999310493,-0.012464330,0.007388673,-0.034184776,1,1,1
1779139798160.000000000,2419,163816.160000000,3,0.999265730,-0.012501705,0.007105074,-0.035513215,1,1,1
1779139798180.000000000,2419,163816.180000000,3,0.999169350,-0.012600818,0.006611879,-0.038184717,1,1,1
1779139798190.000000000,2419,163816.190000000,3,0.999117553,-0.012688885,0.006384251,-0.039525997,1,1,1
1779139798210.000000000,2419,163816.210000000,3,0.999008060,-0.012804472,0.005978721,-0.042227421,1,1,1
