unix_time_ms,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag
1779390501302,414519.302000000,0.072949909,-0.168127865,-0.964038074,0.000801024,-0.001693829,-0.009564999,0.335600823,-1.370208621,0.341347575,1,0.076944329,-0.043382525,-0.482865512,1,-0.378868520,0.280377865,9.795316696,1,1
1779390501322,414519.322000000,0.093198568,-0.207274139,-0.971862555,0.000744727,-0.002048682,-0.009495106,0.537909210,-1.742571235,0.264425188,1,0.092224598,-0.049925722,-0.481137991,1,-0.374943674,0.292392939,9.795116425,1,1
1779390501332,414519.332000000,0.034489073,-0.180535197,-1.072965741,0.000584209,-0.001807227,-0.010675956,-0.032972693,-1.474670291,-0.727042019,1,0.066877902,-0.051557545,-0.480799586,1,-0.370039761,0.297292024,9.795155525,1,1
1779390501352,414519.352000000,0.044845529,-0.204852611,-1.039016247,0.000444725,-0.002118683,-0.010219006,0.069331735,-1.701028466,-0.394457102,1,0.082438044,-0.043537777,-0.477223814,1,-0.369562477,0.309896857,9.794782639,1,1
1779390501362,414519.362000000,0.043738443,-0.190033779,-1.106178641,0.000455240,-0.001782075,-0.010995022,0.061252244,-1.549500704,-1.053187013,1,0.080981016,-0.029404033,-0.471221089,1,-0.367229253,0.316067368,9.794673920,1,1
1779390501372,414519.372000000,0.010680340,-0.248863384,-1.065476537,0.000156309,-0.002483144,-0.010806105,-0.263261944,-2.120611668,-0.654237032,1,0.077506535,-0.002401634,-0.469599187,1,-0.368403196,0.321771145,9.794444084,1,1
1779390501392,414519.392000000,0.020165775,-0.201961592,-1.084064245,0.000205688,-0.001934670,-0.010715540,-0.170517728,-1.651808739,-0.836823285,1,0.066244639,-0.026823284,-0.472189873,1,-0.367933959,0.330269754,9.794178009,1,1
1779390501402,414519.402000000,-0.041670822,-0.240493953,-1.091708183,-0.000269313,-0.002463296,-0.011117616,-0.776554227,-2.026614666,-0.911874712,1,0.034329474,-0.007458090,-0.467145503,1,-0.368163943,0.332348734,9.794099808,1,1
1779390501422,414519.422000000,0.023163931,-0.243892908,-1.086670160,0.000302211,-0.002403655,-0.010726900,-0.144345075,-2.058583260,-0.862649202,1,0.016270056,-0.012442065,-0.472120970,1,-0.371634334,0.333469391,9.793930054,1,1
1779390501432,414519.432000000,0.028995819,-0.238756850,-1.075163603,0.000244431,-0.002344573,-0.010798435,-0.089556456,-2.007920504,-0.749911010,1,0.011895166,0.030497000,-0.469596058,1,-0.375358611,0.333318293,9.793793678,1,1
