FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estRoll,Timeseries,100Hz,,,,,,
inertial-6286.188861:estRoll:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estPitch,Timeseries,100Hz,,,,,,
inertial-6286.188861:estPitch:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estYaw,Timeseries,100Hz,,,,,,
inertial-6286.188861:estYaw:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:estRoll,inertial-6286.188861:estRoll:valid,inertial-6286.188861:estPitch,inertial-6286.188861:estPitch:valid,inertial-6286.188861:estYaw,inertial-6286.188861:estYaw:valid
1777498967262425856,0.0001414892030879855,1,-0.007859633304178715,1,2.186257839202881,1
1777498967272450304,0.0001453619042877108,1,-0.007855642586946487,1,2.18625283241272,1
1777498967282458880,0.0001046150428010151,1,-0.007859168574213982,1,2.186251163482666,1
1777498967292448000,2.163009958167095e-05,1,-0.007827945053577423,1,2.186262845993042,1
1777498967302417920,5.579765274887905e-05,1,-0.007810466922819614,1,2.186225652694702,1
1777498967312368384,1.524507661088137e-05,1,-0.007848904468119144,1,2.186201333999634,1
1777498967322299904,0.0001470787537982687,1,-0.007878959178924561,1,2.186196565628052,1
1777498967332212224,0.0001696017425274476,1,-0.007895499467849731,1,2.186203479766846,1
1777498967342105088,0.0001419477339368314,1,-0.007867078296840191,1,2.18624210357666,1
1777498967351978496,0.0001214716976392083,1,-0.00787361990660429,1,2.186247587203979,1
1777498967361833728,0.0001310790539719164,1,-0.007878013886511326,1,2.186250448226929,1
1777498967371669504,0.0001377148873871192,1,-0.007879544980823994,1,2.186252117156982,1
1777498967381486848,0.0001414438302163035,1,-0.007871423847973347,1,2.18625545501709,1
1777498967391284992,0.0001668918848736212,1,-0.007887972518801689,1,2.186249017715454,1
1777498967401063936,0.0001729233918013051,1,-0.007888541556894779,1,2.186250448226929,1
1777498967411283200,0.0001672633952694014,1,-0.007885199971497059,1,2.186247110366821,1
1777498967421482752,0.0001638921821722761,1,-0.007886146195232868,1,2.186249732971191,1
1777498967431662336,0.0001728066708892584,1,-0.00789415929466486,1,2.186249256134033,1
1777498967441822720,0.0001693575904937461,1,-0.007879937067627907,1,2.186254978179932,1
1777498967451963392,0.0001897906040539965,1,-0.007896768860518932,1,2.186251401901245,1
1777498967462084096,0.0001915660832310095,1,-0.007898190058767796,1,2.186246633529663,1
1777498967472186880,0.0001870678825071082,1,-0.007892237044870853,1,2.186248064041138,1
1777498967482269952,0.0001923721865750849,1,-0.007894747890532017,1,2.186244010925293,1
1777498967492333568,0.0001934962347149849,1,-0.007897141389548779,1,2.186241149902344,1
1777498967502377984,0.0001894686865853146,1,-0.007890917360782623,1,2.186239719390869,1
1777498967512402944,0.0001882490032585338,1,-0.007888529449701309,1,2.186248302459717,1
1777498967522408448,0.0001976942585315555,1,-0.007888653315603733,1,2.186252355575562,1
1777498967532394496,0.0002016878424910828,1,-0.007900255732238293,1,2.186254978179932,1
1777498967542361088,0.0001826261141104624,1,-0.007877842523157597,1,2.186243534088135,1
1777498967552308992,0.0001748284848872572,1,-0.007878482341766357,1,2.186236143112183,1
1777498967562237440,0.0001790747483028099,1,-0.007877607829868793,1,2.186235666275024,1
1777498967572146688,0.0001894786109915003,1,-0.007878635078668594,1,2.186237335205078,1
1777498967582036480,0.0001956588821485639,1,-0.007882350124418736,1,2.186237335205078,1
1777498967591907328,0.0001125216440414079,1,-0.007949246093630791,1,2.18623685836792,1
1777498967601758976,0.0002583776658866554,1,-0.007929663173854351,1,2.186208486557007,1
1777498967611591424,0.000182951451279223,1,-0.007809917908161879,1,2.186146259307861,1
1777498967621404928,3.605993697419763e-05,1,-0.007951667532324791,1,2.186102151870728,1
1777498967631200512,0.000111255947558675,1,-0.007910924032330513,1,2.186078548431396,1
1777498967640983552,0.0001343091862509027,1,-0.007947461679577827,1,2.186086416244507,1
1777498967651212032,0.0001609663013368845,1,-0.007912778295576572,1,2.186114311218262,1
1777498967661421056,0.000133511348394677,1,-0.007913260720670223,1,2.186135053634644,1
1777498967671610112,0.000133223642478697,1,-0.007903484627604485,1,2.186163187026978,1
1777498967681779456,0.0001638851972529665,1,-0.007925030775368214,1,2.18619441986084,1
1777498967691929600,0.0001759459701133892,1,-0.007900571450591087,1,2.186221837997437,1
