Time,estLinearAccelZ,estAngularRateZ,flagStop
1777503232922156211, 0.039320,-0.004394,1
1777503232932270835, 0.039320,-0.004394,1
1777503232942383755, 0.039320,-0.004394,1
1777503232952497805, 0.039320,-0.004394,1
1777503232963073866, 0.044422,-0.004392,1
1777503232973190897, 0.044422,-0.004392,1
1777503232983304891, 0.044422,-0.004392,1
1777503232993417793, 0.044422,-0.004392,1
1777503233003532268, 0.044422,-0.004392,1
1777503233022053094, 0.044894,-0.004286,1
1777503233032169773, 0.044894,-0.004286,1
1777503233042283286, 0.044894,-0.004286,1
1777503233052395799, 0.044894,-0.004286,1
1777503233062508626, 0.044894,-0.004286,1
1777503233073052522, 0.042263,-0.004522,1
1777503233083169127, 0.042263,-0.004522,1
1777503233093282565, 0.042263,-0.004522,1
1777503233103448596, 0.042263,-0.004522,1
1777503233113562720, 0.042263,-0.004522,1
1777503233132107619, 0.045595,-0.004462,1
1777503233142222428, 0.045595,-0.004462,1
1777503233152335737, 0.045595,-0.004462,1
1777503233162446435, 0.045595,-0.004462,1
1777503233172583706, 0.043579,-0.004014,1
1777503233182696700, 0.043579,-0.004014,1
1777503233192809806, 0.043579,-0.004014,1
1777503233202954058, 0.043579,-0.004014,1
1777503233213065719, 0.043579,-0.004014,1
1777503233223177491, 0.043579,-0.004014,1
1777503233233737609, 0.038350,-0.004477,1
1777503233243874325, 0.038350,-0.004477,1
1777503233254010374, 0.038350,-0.004477,1
1777503233264128090, 0.038350,-0.004477,1
1777503233274233640, 0.038350,-0.004477,1
1777503233292689430, 0.038252,-0.003969,1
1777503233302908811, 0.038252,-0.003969,1
1777503233313032120, 0.038252,-0.003969,1
1777503233323136670, 0.038252,-0.003969,1
1777503233333240497, 0.038252,-0.003969,1
1777503233351736101, 0.044870,-0.004450,1
1777503233361842207, 0.044870,-0.004450,1
1777503233371949349, 0.044870,-0.004450,1
1777503233382052399, 0.044870,-0.004450,1
1777503233392158726, 0.044870,-0.004450,1
1777503233402726307, 0.038121,-0.004181,1
1777503233412831986, 0.038121,-0.004181,1
1777503233422938314, 0.038121,-0.004181,1
1777503233433041771, 0.038121,-0.004181,1
1777503233443146117, 0.038121,-0.004181,1
1777503233461781756, 0.043650,-0.004275,1
1777503233471891454, 0.043650,-0.004275,1
1777503233482004170, 0.043650,-0.004275,1
1777503233492116812, 0.043650,-0.004275,1
1777503233502226806, 0.043650,-0.004275,1
1777503233512811220, 0.047212,-0.004279,1
1777503233522924640, 0.047212,-0.004279,1
1777503233533037653, 0.047212,-0.004279,1
1777503233543148554, 0.047212,-0.004279,1
1777503233553263270, 0.047212,-0.004279,1
1777503233571844132, 0.043749,-0.004182,1
1777503233581957441, 0.043749,-0.004182,1
1777503233592131009, 0.043749,-0.004182,1
1777503233602242095, 0.043749,-0.004182,1
1777503233612354719, 0.043749,-0.004182,1
1777503233622837245, 0.038577,-0.004243,1
1777503233632953221, 0.038577,-0.004243,1
1777503233643063252, 0.038577,-0.004243,1
1777503233653175709, 0.038577,-0.004243,1
1777503233663288444, 0.038577,-0.004243,1
1777503233681891694, 0.038488,-0.004176,1
1777503233692007411, 0.038488,-0.004176,1
1777503233702117868, 0.038488,-0.004176,1
1777503233712227547, 0.038488,-0.004176,1
1777503233722336912, 0.038488,-0.004176,1
1777503233732871715, 0.050249,-0.004091,1
1777503233742984172, 0.050249,-0.004091,1
1777503233753094351, 0.050249,-0.004091,1
1777503233763202290, 0.050249,-0.004091,1
1777503233773312006, 0.050249,-0.004091,1
1777503233791921460, 0.044956,-0.004220,1
1777503233802032880, 0.044956,-0.004220,1
1777503233812142486, 0.044956,-0.004220,1
1777503233822250350, 0.044956,-0.004220,1
1777503233832359048, 0.044956,-0.004220,1
1777503233842922073, 0.047620,-0.004255,1
1777503233853034215, 0.047620,-0.004255,1
1777503233863143154, 0.047620,-0.004255,1
1777503233873252037, 0.047620,-0.004255,1
1777503233883364790, 0.047620,-0.004255,1
1777503233901972096, 0.043112,-0.004372,1
1777503233912095831, 0.043112,-0.004372,1
1777503233922215899, 0.043112,-0.004372,1
1777503233932328486, 0.043112,-0.004372,1
1777503233942441665, 0.043112,-0.004372,1
1777503233953021283, 0.041194,-0.004016,1
1777503233963133240, 0.041194,-0.004016,1
1777503233973244011, 0.041194,-0.004016,1
1777503233983353135, 0.041194,-0.004016,1
1777503233993462648, 0.041194,-0.004016,1
1777503234012019696, 0.044146,-0.004164,1
1777503234022134079, 0.044146,-0.004164,1
1777503234032301702, 0.044146,-0.004164,1
1777503234042421825, 0.044146,-0.004164,1
1777503234052536171, 0.044146,-0.004164,1
1777503234063022308, 0.040794,-0.004222,1
1777503234073147080, 0.040794,-0.004222,1
1777503234083262167, 0.040794,-0.004222,1
1777503234093374124, 0.040794,-0.004222,1
1777503234103486877, 0.040794,-0.004222,1
1777503234122054795, 0.038491,-0.004397,1
1777503234132169660, 0.038491,-0.004397,1
1777503234142282913, 0.038491,-0.004397,1
1777503234152392166, 0.038491,-0.004397,1
1777503234162571697, 0.046588,-0.004250,1
1777503234172768504, 0.046588,-0.004250,1
1777503234182881795, 0.046588,-0.004250,1
1777503234192996067, 0.046588,-0.004250,1
1777503234203103635, 0.046588,-0.004250,1
1777503234213216574, 0.046588,-0.004250,1
1777503234223657526, 0.036734,-0.004395,1
1777503234233770354, 0.036734,-0.004395,1
1777503234243893348, 0.036734,-0.004395,1
1777503234254028304, 0.036734,-0.004395,1
1777503234264146224, 0.036734,-0.004395,1
1777503234282721550, 0.045028,-0.004170,1
1777503234292944876, 0.045028,-0.004170,1
1777503234303050574, 0.045028,-0.004170,1
1777503234313153883, 0.045028,-0.004170,1
1777503234323263173, 0.045028,-0.004170,1
1777503234333654812, 0.041027,-0.004446,1
1777503234343762732, 0.041027,-0.004446,1
1777503234353866356, 0.041027,-0.004446,1
1777503234363972813, 0.041027,-0.004446,1
1777503234374076251, 0.041027,-0.004446,1
1777503234392724539, 0.042984,-0.004188,1
1777503234402849866, 0.042984,-0.004188,1
1777503234412955027, 0.042984,-0.004188,1
1777503234423058206, 0.042984,-0.004188,1
1777503234433161460, 0.042984,-0.004188,1
1777503234451718470, 0.043732,-0.004142,1
1777503234461823224, 0.043732,-0.004142,1
1777503234471928866, 0.043732,-0.004142,1
1777503234482068452, 0.043732,-0.004142,1
1777503234492182317, 0.043732,-0.004142,1
1777503234502768379, 0.039584,-0.004241,1
1777503234512882725, 0.039584,-0.004241,1
1777503234522995348, 0.039584,-0.004241,1
1777503234533107028, 0.039584,-0.004241,1
1777503234543219448, 0.039584,-0.004241,1
1777503234561797273, 0.054189,-0.004105,1
1777503234571911860, 0.054189,-0.004105,1
1777503234582018761, 0.054189,-0.004105,1
1777503234592133589, 0.054189,-0.004105,1
1777503234602235750, 0.054189,-0.004105,1
1777503234612768183, 0.044954,-0.004386,1
1777503234622872158, 0.044954,-0.004386,1
1777503234632977467, 0.044954,-0.004386,1
1777503234643079554, 0.044954,-0.004386,1
1777503234653183308, 0.044954,-0.004386,1
1777503234671819854, 0.041257,-0.004260,1
1777503234681926423, 0.041257,-0.004260,1
1777503234692041880, 0.041257,-0.004260,1
1777503234702153040, 0.041257,-0.004260,1
1777503234712262164, 0.041257,-0.004260,1
1777503234722846911, 0.044635,-0.004121,1
1777503234732960146, 0.044635,-0.004121,1
1777503234743071955, 0.044635,-0.004121,1
1777503234753251837, 0.044635,-0.004121,1
1777503234763368405, 0.044635,-0.004121,1
1777503234781879694, 0.038443,-0.004148,1
1777503234791982318, 0.038443,-0.004148,1
1777503234802085609, 0.038443,-0.004148,1
1777503234812188214, 0.038443,-0.004148,1
1777503234822291245, 0.038443,-0.004148,1
1777503234832847789, 0.038642,-0.004341,1
1777503234842951783, 0.038642,-0.004341,1
1777503234853056537, 0.038642,-0.004341,1
1777503234863158661, 0.038642,-0.004341,1
1777503234873261025, 0.038642,-0.004341,1
1777503234891927127, 0.046204,-0.004612,1
1777503234902041010, 0.046204,-0.004612,1
1777503234912167597, 0.046204,-0.004612,1
1777503234922282683, 0.046204,-0.004612,1
1777503234932397418, 0.046204,-0.004612,1
1777503234942940147, 0.040790,-0.004206,1
1777503234953056567, 0.040790,-0.004206,1
1777503234963165876, 0.040790,-0.004206,1
1777503234973277481, 0.040790,-0.004206,1
1777503234983390364, 0.040790,-0.004206,1
1777503235001976004, 0.045216,-0.004104,1
1777503235012089128, 0.045216,-0.004104,1
1777503235022198307, 0.045216,-0.004104,1
1777503235032308709, 0.045216,-0.004104,1
1777503235042418462, 0.045216,-0.004104,1
1777503235052966729, 0.041857,-0.004346,1
1777503235063079112, 0.041857,-0.004346,1
1777503235073189384, 0.041857,-0.004346,1
1777503235083303415, 0.041857,-0.004346,1
1777503235093414539, 0.041857,-0.004346,1
1777503235112034808, 0.043266,-0.004385,1
1777503235122149431, 0.043266,-0.004385,1
1777503235132261759, 0.043266,-0.004385,1
1777503235142375401, 0.043266,-0.004385,1
1777503235152482969, 0.047080,-0.004198,1
1777503235162595945, 0.047080,-0.004198,1
1777503235172707828, 0.047080,-0.004198,1
1777503235182818211, 0.047080,-0.004198,1
1777503235192929965, 0.047080,-0.004198,1
1777503235203070958, 0.047080,-0.004198,1
1777503235213556874, 0.046107,-0.004365,1
1777503235223702497, 0.046107,-0.004365,1
1777503235233816306, 0.046107,-0.004365,1
1777503235244005817, 0.046107,-0.004365,1
1777503235254139441, 0.046107,-0.004365,1
1777503235272638397, 0.040391,-0.004339,1
1777503235282813705, 0.040391,-0.004339,1
1777503235292922199, 0.040391,-0.004339,1
1777503235303027286, 0.040391,-0.004339,1
1777503235313139762, 0.040391,-0.004339,1
1777503235323612955, 0.039277,-0.004316,1
1777503235333745745, 0.039277,-0.004316,1
1777503235343851517, 0.039277,-0.004316,1
1777503235353952196, 0.039277,-0.004316,1
1777503235364057172, 0.039277,-0.004316,1
1777503235382652793, 0.041862,-0.004319,1
1777503235392760528, 0.041862,-0.004319,1
1777503235402862689, 0.041862,-0.004319,1
1777503235412967091, 0.041862,-0.004319,1
1777503235423073715, 0.041862,-0.004319,1
1777503235433628499, 0.042964,-0.004011,1
1777503235443734346, 0.042964,-0.004011,1
1777503235453839062, 0.042964,-0.004011,1
1777503235463943704, 0.042964,-0.004011,1
1777503235474140031, 0.042964,-0.004011,1
1777503235492710301, 0.039062,-0.004103,1
1777503235502824498, 0.039062,-0.004103,1
1777503235512937956, 0.039062,-0.004103,1
1777503235523050598, 0.039062,-0.004103,1
1777503235533163870, 0.039062,-0.004103,1
1777503235551760565, 0.042999,-0.003990,1
1777503235561877356, 0.042999,-0.003990,1
1777503235571990405, 0.042999,-0.003990,1
1777503235582101344, 0.042999,-0.003990,1
1777503235592215319, 0.042999,-0.003990,1
1777503235602750901, 0.040901,-0.004227,1
1777503235612864969, 0.040901,-0.004227,1
1777503235622979518, 0.040901,-0.004227,1
1777503235633092827, 0.040901,-0.004227,1
1777503235643205822, 0.040901,-0.004227,1
1777503235661870683, 0.039664,-0.004011,1
1777503235671984306, 0.039664,-0.004011,1
1777503235682098671, 0.039664,-0.004011,1
1777503235692211924, 0.039664,-0.004011,1
1777503235702379399, 0.039664,-0.004011,1
1777503235712873407, 0.043606,-0.004243,1
1777503235722988031, 0.043606,-0.004243,1
1777503235733101432, 0.043606,-0.004243,1
1777503235743214130, 0.043606,-0.004243,1
1777503235753329513, 0.043606,-0.004243,1
1777503235771890912, 0.042209,-0.004296,1
1777503235782005981, 0.042209,-0.004296,1
1777503235792118549, 0.042209,-0.004296,1
1777503235802231876, 0.042209,-0.004296,1
1777503235812344815, 0.042209,-0.004296,1
1777503235822888100, 0.042897,-0.003947,1
1777503235833001186, 0.042897,-0.003947,1
1777503235843113162, 0.042897,-0.003947,1
1777503235853225397, 0.042897,-0.003947,1
1777503235863337558, 0.042897,-0.003947,1
1777503235881901476, 0.041459,-0.004360,1
1777503235892014414, 0.041459,-0.004360,1
1777503235902127483, 0.041459,-0.004360,1
1777503235912250643, 0.041459,-0.004360,1
1777503235922369286, 0.041459,-0.004360,1
1777503235932967755, 0.044269,-0.004220,1
1777503235943082601, 0.044269,-0.004220,1
1777503235953195743, 0.044269,-0.004220,1
1777503235963308330, 0.044269,-0.004220,1
1777503235973421768, 0.044269,-0.004220,1
1777503235991936205, 0.043031,-0.004253,1
1777503236002047311, 0.043031,-0.004253,1
1777503236012160083, 0.043031,-0.004253,1
1777503236022269225, 0.043031,-0.004253,1
1777503236032381553, 0.043031,-0.004253,1
1777503236042935578, 0.040838,-0.004179,1
1777503236053049646, 0.040838,-0.004179,1
1777503236063159566, 0.040838,-0.004179,1
1777503236073273560, 0.040838,-0.004179,1
1777503236083385814, 0.040838,-0.004179,1
1777503236101994380, 0.043626,-0.004243,1
1777503236112108355, 0.043626,-0.004243,1
1777503236122217831, 0.043626,-0.004243,1
1777503236132330214, 0.043626,-0.004243,1
1777503236142469282, 0.043905,-0.004066,1
1777503236152581869, 0.043905,-0.004066,1
1777503236162694233, 0.043905,-0.004066,1
1777503236172804542, 0.043905,-0.004066,1
1777503236182915944, 0.043905,-0.004066,1
1777503236193028438, 0.043905,-0.004066,1
1777503236203520668, 0.041509,-0.004062,1
1777503236213632996, 0.041509,-0.004062,1
1777503236223747342, 0.041509,-0.004062,1
1777503236233872910, 0.041509,-0.004062,1
1777503236244026774, 0.041509,-0.004062,1
1777503236262592451, 0.042000,-0.003951,1
1777503236272716260, 0.042000,-0.003951,1
1777503236282862605, 0.042000,-0.003951,1
1777503236292978451, 0.042000,-0.003951,1
1777503236303087483, 0.042000,-0.003951,1
1777503236313553417, 0.047216,-0.003916,1
1777503236323659411, 0.047216,-0.003916,1
1777503236333764294, 0.047216,-0.003916,1
1777503236343891640, 0.047216,-0.003916,1
1777503236353996968, 0.047216,-0.003916,1
1777503236372663606, 0.047251,-0.004449,0
1777503236382810452, 0.047251,-0.004449,0
1777503236392941335, 0.047251,-0.004449,0
1777503236403110717, 0.047251,-0.004449,0
1777503236413320821, 0.047251,-0.004449,0
1777503236423597850, 0.040261,-0.004234,0
1777503236433704696, 0.040261,-0.004234,0
1777503236443809376, 0.040261,-0.004234,0
1777503236453913407, 0.040261,-0.004234,0
