unix_time_ms_sensor,GPS_ts_week,GPS_ts_tow,scaledAccelX,scaledAccelY,scaledAccelZ,deltaVelX,deltaVelY,deltaVelZ,unix_time_ms_filter,fGPS_ts_week,fGPS_ts_tow,estLinAccelX,estLinAccelY,estLinAccelZ,estLinAccel_valid,estAngRateX,estAngRateY,estAngRateZ,estAngRate_valid,estGravityX,estGravityY,estGravityZ,estGravity_valid,flag_sensor,flag_filter
1779140672508.000000000,2419,164690.508000000,0.015373377,-0.020620955,-0.994844437,0.000153907,-0.000207678,-0.009954032,1779140672508.000000000,2419,164690.508000000,0.006671995,-0.018508470,0.047778383,1,0.000070138,0.000321968,-0.000089417,1,-0.144099444,0.183716178,9.803870201,1,0,0
1779140672518.000000000,2419,164690.518000000,0.015443558,-0.020247916,-0.996053457,0.000155164,-0.000200918,-0.009956561,1779140672518.000000000,2419,164690.518000000,0.007341307,-0.014820677,0.035920862,1,0.000339388,-0.000350674,0.000284377,1,-0.144097164,0.183754265,9.803869247,1,0,0
1779140672528.000000000,2419,164690.528000000,0.014940274,-0.018170219,-0.994985640,0.000149036,-0.000183792,-0.009952178,1779140672528.000000000,2419,164690.528000000,0.002391484,0.005528852,0.046392377,1,-0.000113620,0.000276073,0.000037198,1,-0.144131169,0.183714330,9.803869247,1,0,0
1779140672548.000000000,2419,164690.548000000,0.013646533,-0.017238423,-0.996020615,0.000135862,-0.000173900,-0.009956433,1779140672548.000000000,2419,164690.548000000,-0.010380415,0.014746319,0.036240775,1,0.000441072,0.000446065,-0.000227428,1,-0.144221246,0.183811173,9.803866386,1,0,0
1779140672558.000000000,2419,164690.558000000,0.013541484,-0.016708761,-0.995529950,0.000133841,-0.000166325,-0.009956979,1779140672558.000000000,2419,164690.558000000,-0.011429186,0.019938001,0.041052017,1,-0.000306750,0.000146502,-0.000613606,1,-0.144230723,0.183785126,9.803866386,1,0,0
1779140672578.000000000,2419,164690.578000000,0.014323422,-0.019901235,-0.995851457,0.000142310,-0.000198422,-0.009960679,1779140672578.000000000,2419,164690.578000000,-0.003835423,-0.011263043,0.037896115,1,0.000382175,0.000363367,-0.000107176,1,-0.144311622,0.183913276,9.803863525,1,0,0
1779140672588.000000000,2419,164690.588000000,0.014984964,-0.021558022,-0.995738387,0.000150301,-0.000213943,-0.009956935,1779140672588.000000000,2419,164690.588000000,0.002601764,-0.027537845,0.039005045,1,-0.000297178,0.000265230,-0.000642364,1,-0.144359201,0.183864579,9.803863525,1,0,0
1779140672608.000000000,2419,164690.608000000,0.016024072,-0.020797160,-0.995157301,0.000159958,-0.000209723,-0.009956246,1779140672608.000000000,2419,164690.608000000,0.012746461,-0.020155655,0.044703897,1,-0.000227701,-0.000319775,-0.000102024,1,-0.144386098,0.183787674,9.803864479,1,0,0
1779140672618.000000000,2419,164690.618000000,0.015074603,-0.019873369,-0.996102095,0.000153359,-0.000197331,-0.009957848,1779140672618.000000000,2419,164690.618000000,0.003461795,-0.011091495,0.035439480,1,0.000204596,0.000445502,0.000337175,1,-0.144383281,0.183806241,9.803864479,1,0,0
1779140672638.000000000,2419,164690.638000000,0.014041672,-0.017522154,-0.996721506,0.000140130,-0.000175162,-0.009961801,1779140672638.000000000,2419,164690.638000000,-0.006740864,0.011900688,0.029364731,1,-0.000114865,0.000339568,-0.000244917,1,-0.144453377,0.183730617,9.803864479,1,0,0
1779140672648.000000000,2419,164690.648000000,0.013865352,-0.016748628,-0.994948089,0.000138618,-0.000169868,-0.009953710,1779140672648.000000000,2419,164690.648000000,-0.008452903,0.019440118,0.046756864,1,-0.000298812,-0.000282680,-0.000315913,1,-0.144416913,0.183678582,9.803866386,1,0,0
1779140672658.000000000,2419,164690.658000000,0.014540827,-0.018645735,-0.996266961,0.000143302,-0.000183094,-0.009960147,1779140672658.000000000,2419,164690.658000000,-0.001944098,0.001028842,0.033818420,1,0.000249496,0.000691895,-0.000696626,1,-0.144573599,0.183910042,9.803859711,1,0,0
1779140672678.000000000,2419,164690.678000000,0.016103998,-0.019416075,-0.996473968,0.000159709,-0.000193076,-0.009963970,1779140672678.000000000,2419,164690.678000000,0.013287133,-0.006445604,0.031785589,1,0.000227695,0.000622149,-0.000235479,1,-0.144658759,0.183968157,9.803856850,1,0,0
1779140672688.000000000,2419,164690.688000000,0.015616869,-0.020289604,-0.995864451,0.000157431,-0.000201071,-0.009957725,1779140672688.000000000,2419,164690.688000000,0.008487224,-0.015024479,0.037762772,1,-0.000181924,0.000251677,0.000443871,1,-0.144669548,0.183943093,9.803857803,1,0,0
1779140672708.000000000,2419,164690.708000000,0.013828734,-0.020255275,-0.996592402,0.000139940,-0.000205618,-0.009963285,1779140672708.000000000,2419,164690.708000000,-0.009072738,-0.014706884,0.030624429,1,0.000024524,-0.000222044,0.000508343,1,-0.144679070,0.183930531,9.803857803,1,0,0
1779140672718.000000000,2419,164690.718000000,0.013547576,-0.019609757,-0.994685352,0.000133647,-0.000197671,-0.009947692,1779140672718.000000000,2419,164690.718000000,-0.011836792,-0.008399587,0.049325921,1,-0.000202940,0.000437481,0.000127923,1,-0.144706726,0.183900177,9.803857803,1,0,0
1779140672738.000000000,2419,164690.738000000,0.013979617,-0.018372599,-0.995530486,0.000141711,-0.000181015,-0.009950755,1779140672738.000000000,2419,164690.738000000,-0.007764990,0.003759899,0.041035529,1,0.000637966,0.000891308,0.000897504,1,-0.144885495,0.183953896,9.803853989,1,0,0
1779140672748.000000000,2419,164690.748000000,0.015801510,-0.018138872,-0.996276140,0.000154563,-0.000182504,-0.009966410,1779140672748.000000000,2419,164690.748000000,0.010055873,0.006080128,0.033721395,1,0.000181092,0.000136498,0.000369709,1,-0.144908071,0.183967531,9.803853035,1,0,0
1779140672768.000000000,2419,164690.768000000,0.016979467,-0.019334897,-0.996267378,0.000169458,-0.000194194,-0.009961681,1779140672768.000000000,2419,164690.768000000,0.021645902,-0.005637653,0.033807695,1,-0.000013389,-0.000217588,-0.000488074,1,-0.144859299,0.183972284,9.803853989,1,0,0
1779140672778.000000000,2419,164690.778000000,0.016615484,-0.018820388,-0.995316148,0.000164401,-0.000188534,-0.009952320,1779140672778.000000000,2419,164690.778000000,0.018059028,-0.000627511,0.043136477,1,-0.000095533,0.000027834,0.000118994,1,-0.144884020,0.183934525,9.803853989,1,0,0
1779140672798.000000000,2419,164690.798000000,0.014328196,-0.016562384,-0.995759666,0.000142847,-0.000167696,-0.009959156,1779140672798.000000000,2419,164690.798000000,-0.004388411,0.021510312,0.038787242,1,0.000412541,-0.000104448,0.000319722,1,-0.144896567,0.183944836,9.803853989,1,0,0
1779140672808.000000000,2419,164690.808000000,0.013675928,-0.017461272,-0.997095406,0.000138311,-0.000171121,-0.009967208,1779140672808.000000000,2419,164690.808000000,-0.010784435,0.012752899,0.025686225,1,0.000185527,0.000327512,0.000334440,1,-0.144909501,0.183995426,9.803853035,1,0,0
1779140672818.000000000,2419,164690.818000000,0.013279773,-0.017791891,-0.994829059,0.000133430,-0.000178115,-0.009956672,1779140672818.000000000,2419,164690.818000000,-0.014621759,0.009482279,0.047913671,1,-0.000336594,-0.000242479,0.000133893,1,-0.144844204,0.183950707,9.803854942,1,0,0
1779140672838.000000000,2419,164690.838000000,0.013967432,-0.019856771,-0.994583607,0.000140000,-0.000194995,-0.009950090,1779140672838.000000000,2419,164690.838000000,-0.007872134,-0.010742347,0.050319545,1,0.000033737,-0.000336176,0.000117608,1,-0.144835308,0.183987185,9.803853989,1,0,0
1779140672848.000000000,2419,164690.848000000,0.014872515,-0.021322085,-0.996705055,0.000146583,-0.000210951,-0.009964598,1779140672848.000000000,2419,164690.848000000,0.000955179,-0.025081690,0.029514156,1,0.000641106,0.001001233,0.000140965,1,-0.144925535,0.184036627,9.803852081,1,0,0
1779140672868.000000000,2419,164690.868000000,0.014685459,-0.018407675,-0.996318877,0.000147475,-0.000186058,-0.009963037,1779140672868.000000000,2419,164690.868000000,-0.000981256,0.003562469,0.033298071,1,-0.000354101,0.000203507,0.000185611,1,-0.145002767,0.184069604,9.803850174,1,0,0
1779140672878.000000000,2419,164690.878000000,0.014174663,-0.017872652,-0.995967031,0.000142824,-0.000177565,-0.009955813,1779140672878.000000000,2419,164690.878000000,-0.006030382,0.008816510,0.036748797,1,-0.000116127,0.000151740,-0.000110316,1,-0.145041153,0.184083730,9.803849220,1,0,0
1779140672898.000000000,2419,164690.898000000,0.013859612,-0.018652231,-0.996181667,0.000135585,-0.000185602,-0.009958336,1779140672898.000000000,2419,164690.898000000,-0.009200724,0.001084353,0.034644015,1,-0.000410002,0.000966027,-0.000581293,1,-0.145147592,0.183987185,9.803849220,1,0,0
1779140672908.000000000,2419,164690.908000000,0.013789909,-0.017596329,-0.995490313,0.000137508,-0.000179452,-0.009961079,1779140672908.000000000,2419,164690.908000000,-0.009869806,0.011459948,0.041423641,1,0.000330832,-0.000317921,-0.000489260,1,-0.145092994,0.184031069,9.803849220,1,0,0
1779140672928.000000000,2419,164690.928000000,0.016070966,-0.018365145,-0.996425152,0.000158846,-0.000183736,-0.009957542,1779140672928.000000000,2419,164690.928000000,0.012364206,0.004002721,0.032252535,1,0.000922517,0.000701515,0.000910120,1,-0.145259500,0.184132472,9.803845406,1,0,0
1779140672938.000000000,2419,164690.938000000,0.016019285,-0.019176189,-0.996052742,0.000160997,-0.000192654,-0.009962119,1779140672938.000000000,2419,164690.938000000,0.011843315,-0.003970212,0.035904307,1,-0.001453337,-0.000193395,0.000531654,1,-0.145245865,0.184038863,9.803847313,1,0,0
1779140672948.000000000,2419,164690.948000000,0.015851256,-0.019213654,-0.995631456,0.000158804,-0.000190657,-0.009948529,1779140672948.000000000,2419,164690.948000000,0.010204357,-0.004414263,0.040037960,1,-0.000785607,0.000243101,-0.000151126,1,-0.145251051,0.183982760,9.803848267,1,0,0
1779140672968.000000000,2419,164690.968000000,0.014229392,-0.019022502,-0.996087372,0.000138641,-0.000189246,-0.009954795,1779140672968.000000000,2419,164690.968000000,-0.005776063,-0.002553972,0.035566334,1,0.000402976,0.000740148,0.000485237,1,-0.145341545,0.184005857,9.803846359,1,0,0
1779140672978.000000000,2419,164690.978000000,0.013812029,-0.018001463,-0.995833099,0.000140751,-0.000183309,-0.009959285,1779140672978.000000000,2419,164690.978000000,-0.009879298,0.007433224,0.038060058,1,-0.000336367,-0.000306206,0.000367925,1,-0.145319268,0.183956951,9.803847313,1,0,0
1779140672998.000000000,2419,164690.998000000,0.013773671,-0.018123582,-0.995755792,0.000136292,-0.000181295,-0.009955887,1779140672998.000000000,2419,164690.998000000,-0.010279055,0.006241722,0.038817775,1,0.000552567,0.000613832,0.000016388,1,-0.145371780,0.183990628,9.803846359,1,0,0
1779140673008.000000000,2419,164691.008000000,0.015053123,-0.018915556,-0.995219171,0.000147636,-0.000186641,-0.009957860,1779140673008.000000000,2419,164691.008000000,0.002240407,-0.001521453,0.044079438,1,-0.000214343,0.000257530,0.000388785,1,-0.145388126,0.183970287,9.803846359,1,0,0
1779140673028.000000000,2419,164691.028000000,0.015608317,-0.018728113,-0.995131135,0.000155845,-0.000189792,-0.009955283,1779140673028.000000000,2419,164691.028000000,0.007557561,0.000263723,0.044942241,1,0.000151458,0.000376549,0.000031222,1,-0.145519495,0.183928519,9.803845406,1,0,0
1779140673038.000000000,2419,164691.038000000,0.015781883,-0.018134840,-0.997148633,0.000160312,-0.000182896,-0.009969248,1779140673038.000000000,2419,164691.038000000,0.009195793,0.006094969,0.025155639,1,-0.000257051,0.000359539,-0.000329304,1,-0.145583034,0.183928818,9.803844452,1,0,0
1779140673058.000000000,2419,164691.058000000,0.014790307,-0.019150568,-0.997112691,0.000146053,-0.000191854,-0.009972450,1779140673058.000000000,2419,164691.058000000,-0.000597940,-0.003853758,0.025506627,1,-0.000836040,0.000309350,-0.000336099,1,-0.145649791,0.183924392,9.803843498,1,0,0
1779140673068.000000000,2419,164691.068000000,0.013830553,-0.018467825,-0.994929254,0.000137882,-0.000182574,-0.009945961,1779140673068.000000000,2419,164691.068000000,-0.010014925,0.002796805,0.046919718,1,-0.000151028,0.000196070,0.000016555,1,-0.145652354,0.183899701,9.803843498,1,0,0
1779140673088.000000000,2419,164691.088000000,0.014735430,-0.019191248,-0.996016681,0.000145096,-0.000188840,-0.009954053,1779140673088.000000000,2419,164691.088000000,-0.001193806,-0.004315115,0.036255267,1,0.000567770,0.000494559,-0.000061540,1,-0.145714477,0.183904439,9.803842545,1,0,0
1779140673098.000000000,2419,164691.098000000,0.014916056,-0.019596577,-0.995428801,0.000152232,-0.000196045,-0.009956054,1779140673098.000000000,2419,164691.098000000,0.000568696,-0.008245996,0.042019375,1,-0.000026078,0.000186358,-0.000124814,1,-0.145713732,0.183929920,9.803842545,1,0,0
1779140673108.000000000,2419,164691.108000000,0.015159789,-0.020068239,-0.995806873,0.000148645,-0.000199975,-0.009961214,1779140673108.000000000,2419,164691.108000000,0.002943657,-0.012873384,0.038312111,1,-0.000108530,-0.000174574,0.000173517,1,-0.145717561,0.183925524,9.803842545,1,0,0
