time,"Altitude (GPS) (m)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Instant engine power (based on fuel consumption) (hp)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 1 Wide Range Voltage (V)","Power from MAF (hp)","Speed (GPS) (km/h)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
12:16:50.011,,12.664567131836682,14.13054462672996,14.13054462672996,14.13054462672996,12.66714021459806,,,,0.08750107106050621,,,,,,,,,0.8333539122332048,1.117226,1.117226,1.117226,0.8416874513555368,1.12839826,1.12839826,1.12839826,0.3423215066248378,0.25,,,0.3,,,,,-12.100001786748267,-77.02429915834304,
12:16:50.208,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:50.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.198796149999998,3.102826,,,,,,-12.100001786748267,-77.02429915834304,
12:16:51.022,,,,,,,10.198325306877102,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,-0.016137189985058125,0,-12.100001786748267,-77.02429915834304,
12:16:51.178,,12.664960976702218,14.130873471708773,14.130873471708773,14.130873471708773,12.665634844159456,,,,0.07988329174952385,,,,,,,,,0.8333798280150938,1.1172520000000001,1.1172520000000001,1.1172520000000001,0.8417136262952447,1.12842452,1.12842452,1.12842452,0.3125192463865857,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:16:51.328,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:51.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.254839899999999,3.127226,,,,,,-12.100001786748267,-77.02429915834304,
12:16:52.109,,,,,,,10.193554222247332,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,-0.017789947528181627,0,-12.100001786748267,-77.02429915834304,
12:16:52.256,,12.66532293705753,14.131177020919978,14.131177020919978,14.131177020919978,12.664937390284981,,,,0.0795692258418466,,,,,,,,,0.8334036457322753,1.117276,1.117276,1.117276,0.8417376821895981,1.12844876,1.12844876,1.12844876,0.311290558401484,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:16:52.487,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:52.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31178035,3.151626,,,,,,-12.100001786748267,-77.02429915834304,
12:16:53.426,,,,,,,10.187781277212325,,,,6.580200519749998,7.906461,7.906461,7.906461,,,,,,,,,,,,,,,,,,,,0,0,-12.100001786748267,-77.02429915834304,
12:16:53.562,,12.66575977656543,14.13154380955019,14.13154380955019,14.13154380955019,12.664889802474042,,,,0.07925265393990384,,,,,,,,,0.8334323906478447,1.117305,1.117305,1.117305,0.8417667145543232,1.12847805,1.12847805,1.12847805,0.31005206647087435,0.23,,,0.276,,,,,-12.100001786748267,-77.02429915834304,
12:16:53.733,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16.862745098039216,,,-12.100001786748267,-77.02429915834304,
12:16:53.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.356167,3.171146,,,,,,-12.100001786748267,-77.02429915834304,
