time,Vehicle speed (km/h)
11:53:33.157,19.0
11:53:33.944,21.0
11:53:35.024,22.0
11:53:36.032,22.0
11:53:36.712,22.0
11:53:37.452,22.0
11:53:38.169,22.0
11:53:38.976,22.0
11:53:40.056,22.0
11:53:41.196,22.0
11:53:42.015,22.0
11:53:42.682,22.0
11:53:43.865,22.0
11:53:44.653,23.0
11:53:45.453,1.0
11:53:46.391,23.0
11:53:47.450,22.0
11:53:48.184,22.0
11:53:49.062,22.0
11:53:49.756,21.0
11:53:50.367,21.0
11:53:51.007,23.0
11:53:51.757,22.0
11:53:52.973,22.0
11:53:54.089,24.0
11:53:55.288,23.0
11:53:56.056,22.0
11:53:56.728,22.0
11:53:57.372,22.0
11:53:58.054,22.0
11:53:58.776,22.0
11:53:59.394,22.0
11:54:00.556,22.0
11:54:01.310,21.0
11:54:01.984,22.0
11:54:03.935,19.0
11:54:04.789,18.0
11:54:05.920,16.0
11:54:06.772,15.0
11:54:07.494,15.0
11:54:08.300,14.0
11:54:09.060,13.0
11:54:09.808,15.0
11:54:10.931,17.0
11:54:11.551,17.0
11:54:12.178,17.0
11:54:12.879,19.0
11:54:13.623,21.0
11:54:14.385,21.0
11:54:15.097,15.0
11:54:15.607,20.0
11:54:16.254,20.0
11:54:17.098,20.0
11:54:18.084,19.0
11:54:19.657,18.0
11:54:20.488,1.0
11:54:21.306,17.0
11:54:22.487,16.0
11:54:23.073,15.0
11:54:23.771,15.0
11:54:24.911,17.0
11:54:25.538,17.0
11:54:26.115,19.0
11:54:27.162,19.0
11:54:27.871,21.0
11:54:28.636,21.0
11:54:29.435,21.0
11:54:30.069,23.0
11:54:30.758,22.0
11:54:31.454,22.0
11:54:32.553,21.0
11:54:33.539,22.0
11:54:34.099,21.0
11:54:34.654,23.0
11:54:35.528,21.0
11:54:36.510,21.0
11:54:37.279,21.0
11:54:38.144,22.0
11:54:39.128,22.0
11:54:39.798,22.0
11:54:40.494,22.0
11:54:41.651,23.0
11:54:42.558,22.0
11:54:43.644,23.0
11:54:44.704,23.0
11:54:45.406,23.0
11:54:46.487,23.0
11:54:47.756,24.0
11:54:48.418,23.0
11:54:49.529,23.0
11:54:50.655,22.0
11:54:51.876,21.0
11:54:53.423,21.0
11:54:54.110,21.0
11:54:54.886,19.0
11:54:55.518,17.0
11:54:56.185,13.0
11:54:57.183,9.0
11:54:58.325,1.0
11:54:59.234,10.0
11:54:59.934,10.0
11:55:00.734,13.0
11:55:01.456,15.0
11:55:02.238,17.0
11:55:03.437,15.0
11:55:04.092,14.0
11:55:04.688,13.0
11:55:05.610,15.0
11:55:06.723,17.0
11:55:07.599,19.0
11:55:08.623,21.0
11:55:09.381,22.0
11:55:10.114,21.0
11:55:11.084,22.0
11:55:11.790,21.0
11:55:12.688,21.0
11:55:13.400,21.0
11:55:14.118,20.0
11:55:14.723,20.0
11:55:15.903,18.0
11:55:16.658,18.0
11:55:18.161,18.0
11:55:18.855,18.0
11:55:19.937,18.0
11:55:20.691,17.0
11:55:21.448,17.0
11:55:22.600,15.0
11:55:23.630,14.0
11:55:24.394,13.0
11:55:25.130,9.0
11:55:26.688,3.0
11:55:27.453,3.0
11:55:28.235,3.0
11:55:28.951,3.0
11:55:29.984,0.0
11:55:30.736,0.0
11:55:31.456,0.0
11:55:32.146,0.0
11:55:32.858,0.0
11:55:33.572,0.0
11:55:34.579,0.0
11:55:35.663,0.0
11:55:37.159,0.0
11:55:38.375,0.0
11:55:39.236,0.0
11:55:39.997,0.0
11:55:41.085,0.0
11:55:41.869,0.0
11:55:42.592,0.0
11:55:44.111,0.0
11:55:44.865,0.0
11:55:45.726,0.0
11:55:47.112,1.0
11:55:47.932,13.0
11:55:49.020,17.0
11:55:50.536,17.0
11:55:51.265,19.0
11:55:52.339,19.0
11:55:53.105,19.0
11:55:53.889,20.0
11:55:55.156,19.0
11:55:55.884,19.0
11:55:57.060,22.0
11:55:58.635,24.0
11:56:00.060,22.0
11:56:00.888,20.0
11:56:01.600,17.0
11:56:02.506,16.0
11:56:03.803,13.0
11:56:04.605,13.0
11:56:05.411,13.0
11:56:06.130,13.0
11:56:07.254,14.0
11:56:08.370,16.0
11:56:09.087,16.0
11:56:32.937,0.0
11:56:34.707,0.0
11:56:35.907,0.0
11:56:37.448,0.0
11:56:38.620,0.0
11:56:40.220,0.0
11:56:41.106,0.0
11:56:42.044,0.0
11:56:43.602,0.0
11:56:44.867,0.0
11:56:46.102,0.0
11:56:47.301,0.0
11:56:49.218,0.0
11:56:50.099,0.0
11:56:50.898,0.0
11:56:52.060,1.0
11:56:52.935,0.0
11:56:54.168,0.0
11:56:55.202,0.0
11:56:55.970,0.0
11:56:56.795,0.0
11:56:57.769,0.0
11:56:58.949,0.0
11:56:59.862,0.0
11:57:00.993,0.0
11:57:01.795,0.0
11:57:02.990,0.0
11:57:03.760,0.0
11:57:04.892,0.0
11:57:06.034,0.0
11:57:07.069,5.0
11:57:07.897,0.0
11:57:09.310,0.0
11:57:10.441,0.0
11:57:11.408,0.0
11:57:12.495,0.0
11:57:14.056,0.0
11:57:14.842,0.0
11:57:15.801,0.0
11:57:16.503,0.0
11:57:17.687,0.0
11:57:18.890,0.0
11:57:20.058,7.0
11:57:21.488,14.0
11:57:22.638,12.0
11:57:23.395,12.0
11:57:24.225,12.0
11:57:25.356,11.0
11:57:26.191,13.0
