time_unix_ms,timestamp,Vehicle speed (km/h)
1778759436435,2026-05-14 11:50:36.435,22.0
1778759437241,2026-05-14 11:50:37.241,21.0
1778759438125,2026-05-14 11:50:38.125,21.0
1778759439299,2026-05-14 11:50:39.299,21.0
1778759440450,2026-05-14 11:50:40.450,21.0
1778759441196,2026-05-14 11:50:41.196,21.0
1778759442310,2026-05-14 11:50:42.310,20.0
1778759443416,2026-05-14 11:50:43.416,20.0
1778759444213,2026-05-14 11:50:44.213,18.0
1778759445320,2026-05-14 11:50:45.320,14.0
1778759446461,2026-05-14 11:50:46.461,8.0
1778759447262,2026-05-14 11:50:47.262,7.0
1778759447958,2026-05-14 11:50:47.958,9.0
1778759448706,2026-05-14 11:50:48.706,11.0
1778759449484,2026-05-14 11:50:49.484,15.0
1778759450200,2026-05-14 11:50:50.200,15.0
1778759450987,2026-05-14 11:50:50.987,16.0
1778759451739,2026-05-14 11:50:51.739,15.0
1778759452485,2026-05-14 11:50:52.485,15.0
1778759453287,2026-05-14 11:50:53.287,12.0
1778759453958,2026-05-14 11:50:53.958,12.0
1778759455138,2026-05-14 11:50:55.138,11.0
1778759455903,2026-05-14 11:50:55.903,11.0
1778759457065,2026-05-14 11:50:57.065,16.0
1778759458156,2026-05-14 11:50:58.156,19.0
1778759458892,2026-05-14 11:50:58.892,19.0
1778759459728,2026-05-14 11:50:59.728,20.0
1778759460889,2026-05-14 11:51:00.889,22.0
1778759461602,2026-05-14 11:51:01.602,24.0
1778759462694,2026-05-14 11:51:02.694,23.0
1778759463533,2026-05-14 11:51:03.533,22.0
1778759464384,2026-05-14 11:51:04.384,21.0
1778759465126,2026-05-14 11:51:05.126,21.0
1778759465922,2026-05-14 11:51:05.922,19.0
1778759467067,2026-05-14 11:51:07.067,20.0
1778759468125,2026-05-14 11:51:08.125,18.0
1778759469305,2026-05-14 11:51:09.305,19.0
1778759470157,2026-05-14 11:51:10.157,18.0
1778759470859,2026-05-14 11:51:10.859,18.0
1778759472059,2026-05-14 11:51:12.059,16.0
1778759473148,2026-05-14 11:51:13.148,13.0
1778759473965,2026-05-14 11:51:13.965,10.0
1778759477239,2026-05-14 11:51:17.239,3.0
1778759479935,2026-05-14 11:51:19.935,0.0
1778759483142,2026-05-14 11:51:23.142,0.0
1778759484232,2026-05-14 11:51:24.232,0.0
1778759484993,2026-05-14 11:51:24.993,0.0
1778759486082,2026-05-14 11:51:26.082,0.0
1778759486806,2026-05-14 11:51:26.806,0.0
1778759487970,2026-05-14 11:51:27.970,0.0
1778759489160,2026-05-14 11:51:29.160,0.0
1778759490244,2026-05-14 11:51:30.244,0.0
1778759491041,2026-05-14 11:51:31.041,0.0
1778759492022,2026-05-14 11:51:32.022,0.0
1778759493186,2026-05-14 11:51:33.186,6.0
1778759494028,2026-05-14 11:51:34.028,9.0
1778759494721,2026-05-14 11:51:34.721,13.0
1778759495461,2026-05-14 11:51:35.461,15.0
1778759496266,2026-05-14 11:51:36.266,15.0
1778759497448,2026-05-14 11:51:37.448,17.0
1778759498226,2026-05-14 11:51:38.226,17.0
1778759498971,2026-05-14 11:51:38.971,16.0
1778759500513,2026-05-14 11:51:40.513,18.0
1778759501227,2026-05-14 11:51:41.227,17.0
1778759502345,2026-05-14 11:51:42.345,15.0
1778759504250,2026-05-14 11:51:44.250,14.0
1778759505034,2026-05-14 11:51:45.034,13.0
1778759505928,2026-05-14 11:51:45.928,13.0
1778759506651,2026-05-14 11:51:46.651,15.0
1778759507480,2026-05-14 11:51:47.480,17.0
1778759508582,2026-05-14 11:51:48.582,16.0
1778759509361,2026-05-14 11:51:49.361,18.0
1778759510038,2026-05-14 11:51:50.038,18.0
1778759511257,2026-05-14 11:51:51.257,16.0
1778759511978,2026-05-14 11:51:51.978,15.0
1778759513131,2026-05-14 11:51:53.131,13.0
1778759514219,2026-05-14 11:51:54.219,12.0
1778759515023,2026-05-14 11:51:55.023,12.0
1778759516164,2026-05-14 11:51:56.164,12.0
1778759517388,2026-05-14 11:51:57.388,13.0
1778759518771,2026-05-14 11:51:58.771,15.0
1778759519991,2026-05-14 11:51:59.991,16.0
1778759520810,2026-05-14 11:52:00.810,18.0
1778759521678,2026-05-14 11:52:01.678,17.0
1778759522574,2026-05-14 11:52:02.574,17.0
1778759523736,2026-05-14 11:52:03.736,17.0
1778759524435,2026-05-14 11:52:04.435,17.0
1778759525173,2026-05-14 11:52:05.173,21.0
1778759526322,2026-05-14 11:52:06.322,23.0
1778759527147,2026-05-14 11:52:07.147,22.0
1778759532649,2026-05-14 11:52:12.649,14.0
1778759533799,2026-05-14 11:52:13.799,11.0
1778759534884,2026-05-14 11:52:14.884,11.0
1778759535685,2026-05-14 11:52:15.685,10.0
1778759536604,2026-05-14 11:52:16.604,8.0
1778759537494,2026-05-14 11:52:17.494,6.0
1778759538297,2026-05-14 11:52:18.297,5.0
1778759538994,2026-05-14 11:52:18.994,3.0
1778759539874,2026-05-14 11:52:19.874,3.0
1778759540609,2026-05-14 11:52:20.609,3.0
1778759541752,2026-05-14 11:52:21.752,0.0
1778759542515,2026-05-14 11:52:22.515,0.0
1778759543312,2026-05-14 11:52:23.312,0.0
1778759544162,2026-05-14 11:52:24.162,0.0
1778759544999,2026-05-14 11:52:24.999,1.0
1778759546018,2026-05-14 11:52:26.018,0.0
