unix_time_ms,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag
1779391855350,415873.350000000,3,0.999850273,-0.008876039,0.014853659,-0.000067554,1,0
1779391855360,415873.360000000,3,0.999849319,-0.008882557,0.014915728,-0.000055538,1,0
1779391855380,415873.380000000,3,0.999849916,-0.008853292,0.014890953,-0.000056654,1,0
1779391855390,415873.390000000,3,0.999851227,-0.008813066,0.014828757,-0.000065827,1,0
1779391855410,415873.410000000,3,0.999851167,-0.008746983,0.014868499,-0.000061192,1,0
1779391855420,415873.420000000,3,0.999850869,-0.008747408,0.014890922,-0.000061417,1,0
1779391855440,415873.440000000,3,0.999852061,-0.008763107,0.014801330,-0.000082242,1,0
1779391855450,415873.450000000,3,0.999851465,-0.008778925,0.014833053,-0.000079575,1,0
1779391855470,415873.470000000,3,0.999850333,-0.008774518,0.014908937,-0.000068601,1,0
1779391855480,415873.480000000,3,0.999851286,-0.008755931,0.014856246,-0.000072263,1,0
1779391855490,415873.490000000,3,0.999852061,-0.008748611,0.014809165,-0.000079342,1,0
1779391855510,415873.510000000,3,0.999852002,-0.008714108,0.014834333,-0.000069394,1,0
1779391855520,415873.520000000,3,0.999852121,-0.008699951,0.014834997,-0.000069634,1,0
1779391855540,415873.540000000,3,0.999853551,-0.008671353,0.014752990,-0.000082101,1,0
1779391855550,415873.550000000,3,0.999853134,-0.008676470,0.014778354,-0.000080203,1,0
1779391855570,415873.570000000,3,0.999851763,-0.008717224,0.014846021,-0.000067861,1,0
1779391855580,415873.580000000,3,0.999852359,-0.008726818,0.014803627,-0.000072982,1,0
1779391855600,415873.600000000,3,0.999852717,-0.008713821,0.014785272,-0.000074377,1,0
1779391855610,415873.610000000,3,0.999852479,-0.008695501,0.014812987,-0.000069695,1,0
1779391855630,415873.630000000,3,0.999853969,-0.008642181,0.014742741,-0.000077683,1,0
1779391855640,415873.640000000,3,0.999854565,-0.008631242,0.014708819,-0.000083165,1,0
1779391855650,415873.650000000,3,0.999854147,-0.008626760,0.014740615,-0.000081840,1,0
1779391855670,415873.670000000,3,0.999852836,-0.008652325,0.014811642,-0.000071857,1,0
1779391855680,415873.680000000,3,0.999853134,-0.008667249,0.014784323,-0.000076923,1,0
1779391855700,415873.700000000,3,0.999852479,-0.008695610,0.014813367,-0.000081456,1,0
1779391855710,415873.710000000,3,0.999851704,-0.008705811,0.014857903,-0.000072675,1,0
1779391855730,415873.730000000,3,0.999852240,-0.008709185,0.014819182,-0.000077885,1,0
1779391855740,415873.740000000,3,0.999852419,-0.008715339,0.014804127,-0.000082064,1,0
1779391855760,415873.760000000,3,0.999851346,-0.008719760,0.014873895,-0.000067497,1,0
1779391855770,415873.770000000,3,0.999851525,-0.008719772,0.014863553,-0.000069892,1,0
1779391855780,415873.780000000,3,0.999852180,-0.008717479,0.014819713,-0.000077092,1,0
1779391855800,415873.800000000,3,0.999851823,-0.008717339,0.014844967,-0.000077574,1,0
1779391855810,415873.810000000,3,0.999851227,-0.008723311,0.014879842,-0.000069519,1,0
1779391855830,415873.830000000,3,0.999851942,-0.008726973,0.014831242,-0.000077308,1,0
1779391855840,415873.840000000,3,0.999852002,-0.008732078,0.014823778,-0.000081816,1,0
1779391855860,415873.860000000,3,0.999851048,-0.008744794,0.014879355,-0.000071841,1,0
1779391855870,415873.870000000,3,0.999851525,-0.008729055,0.014854942,-0.000071508,1,0
1779391855890,415873.890000000,3,0.999852777,-0.008695532,0.014793049,-0.000083623,1,0
1779391855900,415873.900000000,3,0.999852002,-0.008703567,0.014841094,-0.000077637,1,0
1779391855920,415873.920000000,3,0.999852717,-0.008661526,0.014817271,-0.000078358,1,0
1779391855930,415873.930000000,3,0.999854147,-0.008632202,0.014735544,-0.000089371,1,0
1779391855940,415873.940000000,3,0.999854386,-0.008631506,0.014719491,-0.000092432,1,0
1779391855960,415873.960000000,3,0.999852717,-0.008679372,0.014806320,-0.000081309,1,0
1779391855970,415873.970000000,3,0.999853313,-0.008678219,0.014766438,-0.000081825,1,0
1779391855990,415873.990000000,3,0.999853730,-0.008685846,0.014733913,-0.000089572,1,0
1779391856000,415874.000000000,3,0.999852419,-0.008709740,0.014807928,-0.000079649,1,0
1779391856020,415874.020000000,3,0.999852955,-0.008690706,0.014784339,-0.000084263,1,0
1779391856030,415874.030000000,3,0.999854028,-0.008662969,0.014727355,-0.000093896,1,0
1779391856050,415874.050000000,3,0.999852657,-0.008660973,0.014822232,-0.000085874,1,0
1779391856060,415874.060000000,3,0.999852121,-0.008659578,0.014858196,-0.000081713,1,0
1779391856070,415874.070000000,3,0.999852836,-0.008636936,0.014821491,-0.000087146,1,0
1779391856080,415874.080000000,3,0.999853671,-0.008613231,0.014779580,-0.000093697,1,0
1779391856090,415874.090000000,3,0.999853253,-0.008613724,0.014807444,-0.000094778,1,0
1779391856100,415874.100000000,3,0.999852121,-0.008635763,0.014872551,-0.000089944,1,0
1779391856120,415874.120000000,3,0.999852419,-0.008649260,0.014843276,-0.000086963,1,0
1779391856130,415874.130000000,3,0.999853194,-0.008648343,0.014791596,-0.000092796,1,0
1779391856150,415874.150000000,3,0.999851406,-0.008701343,0.014880055,-0.000082386,1,0
1779391856160,415874.160000000,3,0.999850869,-0.008722462,0.014904546,-0.000077999,1,0
1779391856180,415874.180000000,3,0.999852180,-0.008721456,0.014817945,-0.000088173,1,0
1779391856190,415874.190000000,3,0.999851823,-0.008735416,0.014833757,-0.000083687,1,0
1779391856210,415874.210000000,3,0.999850869,-0.008752538,0.014885670,-0.000070594,1,0
1779391856220,415874.220000000,3,0.999851704,-0.008744993,0.014835644,-0.000073569,1,0
1779391856230,415874.230000000,3,0.999852300,-0.008746247,0.014795940,-0.000080035,1,0
1779391856250,415874.250000000,3,0.999850750,-0.008778251,0.014878756,-0.000068719,1,0
1779391856260,415874.260000000,3,0.999850512,-0.008784989,0.014893797,-0.000067772,1,0
1779391856280,415874.280000000,3,0.999851942,-0.008765555,0.014808108,-0.000074710,1,0
1779391856290,415874.290000000,3,0.999851644,-0.008761995,0.014829053,-0.000071254,1,0
1779391856310,415874.310000000,3,0.999850690,-0.008777609,0.014883352,-0.000062459,1,0
1779391856320,415874.320000000,3,0.999852121,-0.008736731,0.014813392,-0.000068171,1,0
1779391856340,415874.340000000,3,0.999852717,-0.008712680,0.014787628,-0.000074041,1,0
1779391856350,415874.350000000,3,0.999851346,-0.008747233,0.014859133,-0.000064147,1,0
1779391856370,415874.370000000,3,0.999851346,-0.008776591,0.014842856,-0.000072172,1,0
1779391856380,415874.380000000,3,0.999851763,-0.008772537,0.014813129,-0.000080881,1,0
1779391856410,415874.410000000,3,0.999850571,-0.008757629,0.014903465,-0.000074486,1,0
1779391856420,415874.420000000,3,0.999851525,-0.008738588,0.014850706,-0.000081213,1,0
1779391856430,415874.430000000,3,0.999852300,-0.008719319,0.014811236,-0.000088639,1,0
1779391856440,415874.440000000,3,0.999852419,-0.008695021,0.014817986,-0.000088860,1,0
1779391856450,415874.450000000,3,0.999852538,-0.008664850,0.014825940,-0.000086505,1,0
1779391856470,415874.470000000,3,0.999854445,-0.008605704,0.014730052,-0.000096876,1,0
1779391856480,415874.480000000,3,0.999855578,-0.008583788,0.014668362,-0.000105020,1,0
1779391856500,415874.500000000,3,0.999853373,-0.008660780,0.014771092,-0.000093761,1,0
1779391856510,415874.510000000,3,0.999852896,-0.008689035,0.014789000,-0.000087170,1,0
1779391856520,415874.520000000,3,0.999853790,-0.008668534,0.014737378,-0.000091740,1,0
1779391856540,415874.540000000,3,0.999854445,-0.008653720,0.014704563,-0.000101554,1,0
1779391856550,415874.550000000,3,0.999853671,-0.008661036,0.014750017,-0.000093878,1,0
1779391856570,415874.570000000,3,0.999854684,-0.008665256,0.014681140,-0.000106637,1,0
1779391856580,415874.580000000,3,0.999854982,-0.008676886,0.014655160,-0.000111123,1,0
1779391856600,415874.600000000,3,0.999852777,-0.008710847,0.014782029,-0.000095384,1,0
1779391856610,415874.610000000,3,0.999852538,-0.008720954,0.014794861,-0.000095452,1,0
1779391856630,415874.630000000,3,0.999854505,-0.008691525,0.014678434,-0.000115660,1,0
1779391856640,415874.640000000,3,0.999854684,-0.008681044,0.014670696,-0.000114910,1,0
1779391856660,415874.660000000,3,0.999853313,-0.008710802,0.014745487,-0.000099373,1,0
1779391856670,415874.670000000,3,0.999853611,-0.008725038,0.014717850,-0.000102043,1,0
