unix_time_ms,GPS_ts_week,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag_sensor,flag_filter
1779140921024.000000000,2419,164939.024000000,3,0.994401455,0.015413461,-0.020961104,0.102415174,2,2
1779140921044.000000000,2419,164939.044000000,3,0.994527340,0.015895132,-0.022201899,0.100845940,2,2
1779140921054.000000000,2419,164939.054000000,3,0.994056582,0.016144887,-0.022780970,0.105223566,2,2
1779140921064.000000000,2419,164939.064000000,3,0.994390190,0.016060017,-0.023597578,0.101850376,2,2
1779140921074.000000000,2419,164939.074000000,3,0.994370580,0.016322570,-0.024458425,0.101796366,2,2
1779140921084.000000000,2419,164939.084000000,3,0.994151950,0.016452143,-0.024737246,0.103823535,2,2
1779140921104.000000000,2419,164939.104000000,3,0.993858457,0.016483173,-0.025648346,0.106376424,2,2
1779140921114.000000000,2419,164939.114000000,3,0.994457662,0.016291263,-0.026249133,0.100496717,2,2
1779140921134.000000000,2419,164939.134000000,3,0.994222760,0.015968136,-0.026591759,0.102757223,2,2
1779140921144.000000000,2419,164939.144000000,3,0.994928122,0.015579919,-0.026854238,0.095677458,2,2
1779140921154.000000000,2419,164939.154000000,3,0.994423151,0.015504597,-0.026848966,0.100804038,2,2
1779140921174.000000000,2419,164939.174000000,3,0.994806707,0.015334199,-0.026936194,0.096948266,2,2
1779140921184.000000000,2419,164939.184000000,3,0.994299948,0.015591180,-0.026678069,0.102043130,2,2
1779140921204.000000000,2419,164939.204000000,3,0.994747162,0.015671557,-0.026764516,0.097551472,2,2
1779140921214.000000000,2419,164939.214000000,3,0.994790256,0.015724437,-0.026433913,0.097192854,2,2
1779140921234.000000000,2419,164939.234000000,3,0.994855702,0.015979091,-0.026202295,0.096542083,2,2
1779140921244.000000000,2419,164939.244000000,3,0.995404422,0.015972070,-0.026288629,0.090685725,2,2
1779140921264.000000000,2419,164939.264000000,3,0.995184064,0.016404815,-0.025937257,0.093096614,2,2
1779140921274.000000000,2419,164939.274000000,3,0.995093167,0.016705455,-0.025797024,0.094048470,2,2
1779140921294.000000000,2419,164939.294000000,3,0.995536089,0.016701575,-0.025866728,0.089218326,2,2
1779140921304.000000000,2419,164939.304000000,3,0.994680047,0.016710496,-0.025708769,0.098343596,2,2
1779140921314.000000000,2419,164939.314000000,3,0.995271325,0.016555434,-0.025728622,0.092190251,2,2
1779140921334.000000000,2419,164939.334000000,3,0.994828105,0.016504169,-0.026103210,0.096764266,2,2
1779140921344.000000000,2419,164939.344000000,3,0.995360017,0.016412949,-0.026389578,0.091064170,2,2
1779140921364.000000000,2419,164939.364000000,3,0.995060861,0.017050568,-0.026873581,0.094026774,2,2
1779140921374.000000000,2419,164939.374000000,3,0.995110393,0.017367618,-0.027210375,0.093345284,2,2
1779140921394.000000000,2419,164939.394000000,3,0.995090127,0.018228939,-0.028395746,0.093043558,2,2
1779140921404.000000000,2419,164939.404000000,3,0.994515538,0.018917201,-0.028793728,0.098751888,2,2
1779140921424.000000000,2419,164939.424000000,3,0.995167971,0.018840466,-0.029367253,0.091779023,2,2
1779140921434.000000000,2419,164939.434000000,3,0.994665682,0.018725995,-0.029796608,0.096962854,2,2
1779140921444.000000000,2419,164939.444000000,3,0.995028257,0.018331889,-0.030676890,0.092960142,2,2
1779140921464.000000000,2419,164939.464000000,3,0.995124340,0.017929662,-0.031214150,0.091825336,2,2
1779140921474.000000000,2419,164939.474000000,3,0.994791269,0.017943323,-0.031646814,0.095219873,2,2
1779140921494.000000000,2419,164939.494000000,3,0.994789541,0.017466351,-0.032485917,0.095044248,2,2
1779140921504.000000000,2419,164939.504000000,3,0.994372666,0.017557351,-0.032854319,0.099173717,2,2
1779140921524.000000000,2419,164939.524000000,3,0.994695842,0.017641842,-0.033155400,0.095758796,2,2
1779140921534.000000000,2419,164939.534000000,3,0.994184613,0.017837625,-0.033725947,0.100704782,2,2
1779140921554.000000000,2419,164939.554000000,3,0.994145274,0.018129662,-0.034187362,0.100885138,2,2
1779140921564.000000000,2419,164939.564000000,3,0.994654000,0.018198453,-0.034241114,0.095707096,2,2
1779140921584.000000000,2419,164939.584000000,3,0.994753420,0.017748622,-0.034617841,0.094616592,2,2
1779140921594.000000000,2419,164939.594000000,3,0.994831026,0.017616030,-0.034449786,0.093883954,2,2
1779140921604.000000000,2419,164939.604000000,3,0.994183004,0.017868236,-0.034355603,0.100501768,2,2
1779140921624.000000000,2419,164939.624000000,3,0.994943976,0.017601006,-0.033923719,0.092876010,2,2
1779140921634.000000000,2419,164939.634000000,3,0.994209051,0.017772451,-0.033494942,0.100551262,2,2
1779140921654.000000000,2419,164939.654000000,3,0.994586408,0.017612834,-0.032755371,0.097030155,2,2
1779140921664.000000000,2419,164939.664000000,3,0.994872272,0.017455915,-0.032000981,0.094342344,2,2
1779140921684.000000000,2419,164939.684000000,3,0.994659603,0.017342459,-0.030915122,0.096931830,2,2
1779140921694.000000000,2419,164939.694000000,3,0.995116830,0.017149039,-0.030378882,0.092334203,2,2
1779140921714.000000000,2419,164939.714000000,3,0.995109677,0.016956244,-0.028774140,0.092958771,2,2
1779140921724.000000000,2419,164939.724000000,3,0.994827151,0.016911115,-0.028169852,0.096122235,2,2
1779140921734.000000000,2419,164939.734000000,3,0.994854987,0.016818773,-0.027223580,0.096122444,2,2
1779140921754.000000000,2419,164939.754000000,3,0.994835913,0.017131938,-0.025633857,0.096700631,2,2
1779140921764.000000000,2419,164939.764000000,3,0.995347381,0.017155087,-0.024900109,0.091484286,2,2
1779140921784.000000000,2419,164939.784000000,3,0.995184302,0.017712481,-0.023062067,0.093608923,2,2
1779140921794.000000000,2419,164939.794000000,3,0.995499849,0.017603710,-0.022270974,0.090411901,2,2
1779140921814.000000000,2419,164939.814000000,3,0.995665491,0.017122161,-0.020924697,0.088989690,2,2
1779140921824.000000000,2419,164939.824000000,3,0.995291173,0.017029341,-0.019913048,0.093322255,2,2
1779140921844.000000000,2419,164939.844000000,3,0.995755434,0.016400361,-0.018825024,0.088587634,2,2
1779140921854.000000000,2419,164939.854000000,3,0.995474994,0.016227087,-0.018197739,0.091842517,2,2
1779140921874.000000000,2419,164939.874000000,3,0.995506942,0.015765138,-0.017260188,0.091758072,2,2
1779140921884.000000000,2419,164939.884000000,3,0.995396674,0.015713887,-0.017460393,0.092917681,2,2
1779140921894.000000000,2419,164939.894000000,3,0.996011376,0.015551204,-0.017591612,0.086081624,2,2
1779140921914.000000000,2419,164939.914000000,3,0.995615125,0.016069168,-0.018331319,0.090312637,2,2
1779140921924.000000000,2419,164939.924000000,3,0.995591342,0.016510906,-0.018967027,0.090363227,2,2
1779140921944.000000000,2419,164939.944000000,3,0.995878160,0.017057620,-0.020619169,0.086663969,2,2
1779140921954.000000000,2419,164939.954000000,3,0.995361269,0.017269349,-0.021145057,0.092253447,2,2
1779140921974.000000000,2419,164939.974000000,3,0.995393753,0.017044403,-0.023207283,0.091445066,2,2
1779140921984.000000000,2419,164939.984000000,3,0.995383084,0.016849268,-0.024361175,0.091296934,2,2
1779140922004.000000000,2419,164940.004000000,3,0.995291591,0.016685080,-0.026300104,0.091785118,2,2
1779140922014.000000000,2419,164940.014000000,3,0.995537460,0.016573120,-0.027540240,0.088724874,2,2
1779140922024.000000000,2419,164940.024000000,3,0.995434046,0.016672418,-0.028244518,0.089640245,2,2
1779140922044.000000000,2419,164940.044000000,3,0.995711088,0.016786676,-0.030165251,0.085835092,2,2
1779140922054.000000000,2419,164940.054000000,3,0.995112777,0.016877506,-0.030711923,0.092317224,2,2
1779140922074.000000000,2419,164940.074000000,3,0.995361686,0.016405132,-0.032107767,0.089191481,2,2
1779140922084.000000000,2419,164940.084000000,3,0.995257020,0.016146580,-0.032675605,0.090194926,2,2
1779140922104.000000000,2419,164940.104000000,3,0.995071948,0.015800396,-0.033088997,0.092127152,2,2
1779140922114.000000000,2419,164940.114000000,3,0.995442152,0.015383060,-0.033721384,0.087870613,2,2
1779140922134.000000000,2419,164940.134000000,3,0.995494843,0.015123103,-0.033832457,0.087273471,2,2
1779140922144.000000000,2419,164940.144000000,3,0.995605230,0.015217516,-0.034036420,0.085908048,2,2
1779140922164.000000000,2419,164940.164000000,3,0.995872617,0.015278824,-0.033824671,0.082826093,2,2
1779140922174.000000000,2419,164940.174000000,3,0.995237112,0.015587750,-0.034005556,0.090020947,2,2
1779140922184.000000000,2419,164940.184000000,3,0.995382607,0.015657434,-0.033562228,0.088554770,2,2
1779140922204.000000000,2419,164940.204000000,3,0.995310962,0.015929570,-0.033322133,0.089397855,2,2
1779140922214.000000000,2419,164940.214000000,3,0.995677531,0.015805397,-0.033134766,0.085314550,2,2
1779140922234.000000000,2419,164940.234000000,3,0.995428026,0.016071122,-0.032694563,0.088293880,2,2
1779140922244.000000000,2419,164940.244000000,3,0.995703280,0.016026583,-0.032221965,0.085322298,2,2
1779140922264.000000000,2419,164940.264000000,3,0.995824397,0.016156467,-0.031860217,0.084010683,2,2
1779140922274.000000000,2419,164940.274000000,3,0.995230734,0.016552152,-0.031645689,0.090776600,2,2
1779140922294.000000000,2419,164940.294000000,3,0.995583534,0.016592342,-0.030944886,0.087066010,2,2
1779140922304.000000000,2419,164940.304000000,3,0.995236635,0.016694732,-0.030608160,0.091041721,2,2
1779140922314.000000000,2419,164940.314000000,3,0.995606244,0.016556472,-0.030813148,0.086860217,2,2
1779140922334.000000000,2419,164940.334000000,3,0.995460510,0.016568070,-0.030290633,0.088692509,2,2
1779140922344.000000000,2419,164940.344000000,3,0.995411873,0.016545283,-0.030034062,0.089327343,2,2
1779140922364.000000000,2419,164940.364000000,3,0.995545268,0.016673513,-0.029731277,0.087907530,2,2
1779140922374.000000000,2419,164940.374000000,3,0.995544136,0.016671183,-0.029841527,0.087883383,2,2
1779140922394.000000000,2419,164940.394000000,3,0.995683610,0.016555570,-0.029908752,0.086287752,2,2
