unix_time_ms,fGPS_ts_week,fGPS_ts_tow,fGPS_valid,estQ0,estQ1,estQ2,estQ3,estQ_valid,flag_sensor,flag_filter
1779140551360.000000000,2419,164569.360000000,3,0.998911500,0.015924983,0.004581084,-0.043602992,1,1,1
1779140551370.000000000,2419,164569.370000000,3,0.998932600,0.016050944,0.004525676,-0.043075867,1,1,1
1779140551380.000000000,2419,164569.380000000,3,0.998959363,0.016037885,0.003707141,-0.042535063,1,1,1
1779140551400.000000000,2419,164569.400000000,3,0.999009907,0.015846714,0.003410777,-0.041430220,1,1,1
1779140551410.000000000,2419,164569.410000000,3,0.999035001,0.015732206,0.003338767,-0.040870812,1,1,1
1779140551430.000000000,2419,164569.430000000,3,0.999083102,0.015543081,0.003017086,-0.039777055,1,1,1
1779140551440.000000000,2419,164569.440000000,3,0.999105096,0.015509977,0.003036986,-0.039232928,1,1,1
1779140551460.000000000,2419,164569.460000000,3,0.999146760,0.015494870,0.002859764,-0.038177572,1,1,1
1779140551470.000000000,2419,164569.470000000,3,0.999167144,0.015605980,0.002835352,-0.037595790,1,1,1
1779140551490.000000000,2419,164569.490000000,3,0.999208868,0.015993768,0.002492294,-0.036326513,1,1,1
1779140551500.000000000,2419,164569.500000000,3,0.999228060,0.016273838,0.002449754,-0.035670802,1,1,1
1779140551520.000000000,2419,164569.520000000,3,0.999272525,0.016374931,0.001794189,-0.034396458,1,1,1
1779140551530.000000000,2419,164569.530000000,3,0.999297678,0.015988840,0.001435718,-0.033859719,1,1,1
1779140551540.000000000,2419,164569.540000000,3,0.999312997,0.015938008,0.001355581,-0.033431802,1,1,1
1779140551560.000000000,2419,164569.560000000,3,0.999337673,0.015585268,0.001471411,-0.032850750,1,1,1
1779140551570.000000000,2419,164569.570000000,3,0.999351084,0.015247275,0.001321988,-0.032606978,1,1,1
1779140551590.000000000,2419,164569.590000000,3,0.999372244,0.014880105,0.001471916,-0.032118209,1,1,1
1779140551600.000000000,2419,164569.600000000,3,0.999379814,0.014933128,0.001618624,-0.031848721,1,1,1
1779140551620.000000000,2419,164569.620000000,3,0.999397516,0.014643849,0.001952072,-0.031405546,1,1,1
1779140551630.000000000,2419,164569.630000000,3,0.999402463,0.014657078,0.001389186,-0.031273142,1,1,1
1779140551650.000000000,2419,164569.650000000,3,0.999404609,0.014926973,0.001948793,-0.031045234,1,1,1
1779140551660.000000000,2419,164569.660000000,3,0.999412954,0.014795791,0.001195774,-0.030877274,1,1,1
1779140551670.000000000,2419,164569.670000000,3,0.999416292,0.014898012,0.001705264,-0.030696386,1,1,1
1779140551690.000000000,2419,164569.690000000,3,0.999420345,0.014948654,0.001544783,-0.030547546,1,1,1
1779140551700.000000000,2419,164569.700000000,3,0.999427319,0.014458106,0.001802665,-0.030540850,1,1,1
1779140551720.000000000,2419,164569.720000000,3,0.999425888,0.014253977,0.001460218,-0.030700961,1,1,1
