unix_time_ms,GPS_ts_tow,GPS_valid,orientQ0,orientQ1,orientQ2,orientQ3,flag
1779391144812,415162.812000000,3,0.909057319,0.008205356,0.023738224,-0.415913463,0
1779391144822,415162.822000000,3,0.908940256,0.008224579,0.023767333,-0.416167080,0
1779391144842,415162.842000000,3,0.908676684,0.008216975,0.023738762,-0.416744173,0
1779391144852,415162.852000000,3,0.908296108,0.008231052,0.023728229,-0.417573303,0
1779391144872,415162.872000000,3,0.909464598,0.008168504,0.023788849,-0.415020049,0
1779391144882,415162.882000000,3,0.909404695,0.008149505,0.023759624,-0.415153265,0
1779391144902,415162.902000000,3,0.910027206,0.008103236,0.023742171,-0.413788825,0
1779391144912,415162.912000000,3,0.910720825,0.008089324,0.023801856,-0.412256807,0
1779391144922,415162.922000000,3,0.909811199,0.008170466,0.023812218,-0.414258212,0
1779391144942,415162.942000000,3,0.910668969,0.008111871,0.023737140,-0.412374586,0
1779391144952,415162.952000000,3,0.911594689,0.008043312,0.023748904,-0.410324812,0
1779391144972,415162.972000000,3,0.910689473,0.008065821,0.023811668,-0.412325919,0
1779391144982,415162.982000000,3,0.909131706,0.008139842,0.023765696,-0.415750474,0
1779391145002,415163.002000000,3,0.909090817,0.008154211,0.023729084,-0.415841669,0
1779391145012,415163.012000000,3,0.910106659,0.008115292,0.023780935,-0.413611591,0
1779391145032,415163.032000000,3,0.910397172,0.008078679,0.023773298,-0.412972897,0
1779391145042,415163.042000000,3,0.910986185,0.008021655,0.023751421,-0.411674172,0
1779391145052,415163.052000000,3,0.910970390,0.008009705,0.023755902,-0.411709279,0
1779391145072,415163.072000000,3,0.909664810,0.008117270,0.023786684,-0.414582014,0
1779391145082,415163.082000000,3,0.909940600,0.008108745,0.023774989,-0.413977265,0
1779391145102,415163.102000000,3,0.910037756,0.008093666,0.023751475,-0.413765371,0
1779391145112,415163.112000000,3,0.908841610,0.008160994,0.023766706,-0.416383803,0
1779391145132,415163.132000000,3,0.910124779,0.008078074,0.023774697,-0.413572758,0
1779391145142,415163.142000000,3,0.910418093,0.008057811,0.023737159,-0.412929296,0
1779391145162,415163.162000000,3,0.908669353,0.008187149,0.023752447,-0.416759819,0
1779391145172,415163.172000000,3,0.909201324,0.008166247,0.023784431,-0.415596694,0
1779391145192,415163.192000000,3,0.908855677,0.008191270,0.023705052,-0.416356117,0
1779391145202,415163.202000000,3,0.907955945,0.008250520,0.023676138,-0.418315113,0
1779391145212,415163.212000000,3,0.909145474,0.008190686,0.023736756,-0.415721148,0
1779391145232,415163.232000000,3,0.908325374,0.008220991,0.023734495,-0.417509496,0
1779391145242,415163.242000000,3,0.908326149,0.008224786,0.023702225,-0.417509675,0
1779391145262,415163.262000000,3,0.906046331,0.008405338,0.023683349,-0.422431678,0
1779391145272,415163.272000000,3,0.906418979,0.008396304,0.023705434,-0.421630472,0
1779391145292,415163.292000000,3,0.907359719,0.008310549,0.023656890,-0.419606596,0
1779391145302,415163.302000000,3,0.907980859,0.008260485,0.023675662,-0.418260723,0
1779391145322,415163.322000000,3,0.908686936,0.008235324,0.023750819,-0.416720659,0
1779391145332,415163.332000000,3,0.909458816,0.008184719,0.023736516,-0.415035218,0
1779391145342,415163.342000000,3,0.907995939,0.008268676,0.023664709,-0.418228447,0
1779391145362,415163.362000000,3,0.908493757,0.008240961,0.023708021,-0.417144209,0
1779391145372,415163.372000000,3,0.908513129,0.008233478,0.023738416,-0.417100310,0
1779391145392,415163.392000000,3,0.907082796,0.008284506,0.023658553,-0.420205295,0
1779391145402,415163.402000000,3,0.906710267,0.008311729,0.023650501,-0.421008497,0
1779391145422,415163.422000000,3,0.907329679,0.008310759,0.023712335,-0.419668317,0
1779391145432,415163.432000000,3,0.909361839,0.008188199,0.023725294,-0.415248454,0
1779391145452,415163.452000000,3,0.909427762,0.008182642,0.023698119,-0.415105522,0
1779391145462,415163.462000000,3,0.909219146,0.008218355,0.023729555,-0.415559888,0
1779391145482,415163.482000000,3,0.909645021,0.008203402,0.023743978,-0.414626181,0
1779391145492,415163.492000000,3,0.909092188,0.008223318,0.023699639,-0.415839106,0
1779391145502,415163.502000000,3,0.909221649,0.008207123,0.023704225,-0.415555954,0
1779391145522,415163.522000000,3,0.907451987,0.008291905,0.023729606,-0.419403374,0
1779391145532,415163.532000000,3,0.908108830,0.008233368,0.023719570,-0.417980760,0
1779391145552,415163.552000000,3,0.907456934,0.008270147,0.023658566,-0.419396907,0
1779391145562,415163.562000000,3,0.907555759,0.008285004,0.023692982,-0.419180840,0
1779391145582,415163.582000000,3,0.907498419,0.008296887,0.023660759,-0.419306517,0
1779391145592,415163.592000000,3,0.906114697,0.008376084,0.023588363,-0.422291040,0
1779391145612,415163.612000000,3,0.905073345,0.008459679,0.023616435,-0.424515098,0
1779391145622,415163.622000000,3,0.903147221,0.008564222,0.023600651,-0.428596407,0
1779391145632,415163.632000000,3,0.905197263,0.008439477,0.023607859,-0.424251616,0
1779391145652,415163.652000000,3,0.905923009,0.008393374,0.023590535,-0.422701597,0
1779391145662,415163.662000000,3,0.904100478,0.008501443,0.023601327,-0.426583022,0
1779391145682,415163.682000000,3,0.902782142,0.008540813,0.023569912,-0.429366976,0
1779391145692,415163.692000000,3,0.905225277,0.008386734,0.023588646,-0.424194008,0
1779391145712,415163.712000000,3,0.904874265,0.008409994,0.023620568,-0.424939871,0
1779391145722,415163.722000000,3,0.903822005,0.008475118,0.023610245,-0.427172691,0
1779391145742,415163.742000000,3,0.904799461,0.008417314,0.023587663,-0.425101012,0
1779391145752,415163.752000000,3,0.905781865,0.008377438,0.023624578,-0.423002273,0
1779391145772,415163.772000000,3,0.905417740,0.008413670,0.023650335,-0.423778921,0
1779391145782,415163.782000000,3,0.905793369,0.008375118,0.023615288,-0.422978222,0
1779391145792,415163.792000000,3,0.903137803,0.008508078,0.023533765,-0.428620875,0
1779391145812,415163.812000000,3,0.903280020,0.008502221,0.023607025,-0.428317249,0
1779391145822,415163.822000000,3,0.904765785,0.008415203,0.023654081,-0.425168812,0
1779391145842,415163.842000000,3,0.902441680,0.008514273,0.023554927,-0.430083454,0
1779391145852,415163.852000000,3,0.903766334,0.008442646,0.023602072,-0.427291542,0
1779391145872,415163.872000000,3,0.903836310,0.008446578,0.023632718,-0.427141786,0
1779391145882,415163.882000000,3,0.903546214,0.008457909,0.023594134,-0.427757084,0
1779391145902,415163.902000000,3,0.903183579,0.008481591,0.023590242,-0.428521931,0
1779391145912,415163.912000000,3,0.903576851,0.008473953,0.023638926,-0.427689493,0
1779391145922,415163.922000000,3,0.905279815,0.008380068,0.023683146,-0.424072444,0
1779391145932,415163.932000000,3,0.905358136,0.008359424,0.023658622,-0.423906982,0
1779391145942,415163.942000000,3,0.905346811,0.008347914,0.023634227,-0.423932731,0
1779391145952,415163.952000000,3,0.903572619,0.008449360,0.023618231,-0.427700043,0
1779391145972,415163.972000000,3,0.902861834,0.008496659,0.023629427,-0.429196924,0
1779391145982,415163.982000000,3,0.903478920,0.008461219,0.023597833,-0.427898794,0
1779391146002,415164.002000000,3,0.904728234,0.008395729,0.023619985,-0.425251007,0
1779391146012,415164.012000000,3,0.903780222,0.008453856,0.023635885,-0.427260160,0
1779391146032,415164.032000000,3,0.903723001,0.008439320,0.023611052,-0.427382916,0
1779391146042,415164.042000000,3,0.902729034,0.008491598,0.023565544,-0.429479808,0
1779391146062,415164.062000000,3,0.901763380,0.008583126,0.023588760,-0.431500643,0
1779391146072,415164.072000000,3,0.902725220,0.008533685,0.023605058,-0.429484785,0
1779391146082,415164.082000000,3,0.904832363,0.008412837,0.023612199,-0.425029635,0
1779391146102,415164.102000000,3,0.902426898,0.008548879,0.023573330,-0.430112660,0
1779391146112,415164.112000000,3,0.904684365,0.008442241,0.023660949,-0.425341189,0
1779391146132,415164.132000000,3,0.903278530,0.008520570,0.023588412,-0.428321153,0
1779391146142,415164.142000000,3,0.903965652,0.008475537,0.023570463,-0.426870823,0
1779391146162,415164.162000000,3,0.903588355,0.008495230,0.023628997,-0.427665323,0
1779391146172,415164.172000000,3,0.901763141,0.008585599,0.023599982,-0.431500375,0
1779391146192,415164.192000000,3,0.907507539,0.008262547,0.023663731,-0.419287443,0
1779391146202,415164.202000000,3,0.903496683,0.008498523,0.023605032,-0.427860171,0
1779391146222,415164.222000000,3,0.902627349,0.008530905,0.023613537,-0.429690093,0
1779391146232,415164.232000000,3,0.904832661,0.008383309,0.023617361,-0.425029308,0
1779391146242,415164.242000000,3,0.902635753,0.008491483,0.023552956,-0.429676533,0
1779391146262,415164.262000000,3,0.903987527,0.008457843,0.023645787,-0.426820666,0
1779391146272,415164.272000000,3,0.902949870,0.008523361,0.023632016,-0.429011017,0
1779391146282,415164.282000000,3,0.905512571,0.008371328,0.023651021,-0.423577219,0
1779391146292,415164.292000000,3,0.904106379,0.008434249,0.023599131,-0.426571995,0
1779391146302,415164.302000000,3,0.904416382,0.008410607,0.023624074,-0.425913483,0
1779391146322,415164.322000000,3,0.904188156,0.008412941,0.023640005,-0.426396787,0
1779391146332,415164.332000000,3,0.903693378,0.008429719,0.023594681,-0.427446485,0
1779391146352,415164.352000000,3,0.903701961,0.008441902,0.023629995,-0.427426130,0
1779391146362,415164.362000000,3,0.903781056,0.008457946,0.023672678,-0.427256316,0
1779391146372,415164.372000000,3,0.904919505,0.008396221,0.023677146,-0.424840868,0
1779391146392,415164.392000000,3,0.901830971,0.008550165,0.023550235,-0.431362122,0
1779391146402,415164.402000000,3,0.901430488,0.008562594,0.023572393,-0.432196975,0
1779391146422,415164.422000000,3,0.903338075,0.008454775,0.023654051,-0.428193182,0
1779391146432,415164.432000000,3,0.904873550,0.008366479,0.023656275,-0.424940348,0
1779391146452,415164.452000000,3,0.902061701,0.008547127,0.023593457,-0.430877030,0
1779391146462,415164.462000000,3,0.901983678,0.008564672,0.023604853,-0.431039363,0
1779391146482,415164.482000000,3,0.904509127,0.008392040,0.023608636,-0.425717622,0
1779391146512,415164.512000000,3,0.902226925,0.008530565,0.023623897,-0.430529684,0
1779391146522,415164.522000000,3,0.903369844,0.008472593,0.023618413,-0.428127855,0
1779391146532,415164.532000000,3,0.901734352,0.008555692,0.023542833,-0.431564301,0
1779391146552,415164.552000000,3,0.902763903,0.008463048,0.023614790,-0.429404318,0
1779391146562,415164.562000000,3,0.904415667,0.008354153,0.023688946,-0.425912380,0
1779391146582,415164.582000000,3,0.903605521,0.008392096,0.023626344,-0.427631259,0
1779391146592,415164.592000000,3,0.903981864,0.008391548,0.023629870,-0.426834941,0
1779391146612,415164.612000000,3,0.905273795,0.008353620,0.023717415,-0.424083918,0
1779391146622,415164.622000000,3,0.904582500,0.008384835,0.023698971,-0.425556898,0
1779391146642,415164.642000000,3,0.903261602,0.008418730,0.023643885,-0.428355753,0
1779391146652,415164.652000000,3,0.904838085,0.008332711,0.023714406,-0.425013393,0
1779391146662,415164.662000000,3,0.903607368,0.008408618,0.023711117,-0.427622378,0
1779391146682,415164.682000000,3,0.904203951,0.008384110,0.023645975,-0.426363587,0
1779391146692,415164.692000000,3,0.905616760,0.008313137,0.023677193,-0.423354000,0
1779391146712,415164.712000000,3,0.903963506,0.008411451,0.023714477,-0.426868677,0
1779391146722,415164.722000000,3,0.904359102,0.008382917,0.023699773,-0.426031381,0
1779391146742,415164.742000000,3,0.902623653,0.008487658,0.023635423,-0.429697514,0
1779391146752,415164.752000000,3,0.904675543,0.008389069,0.023709118,-0.425358325,0
1779391146772,415164.772000000,3,0.903332114,0.008462744,0.023674613,-0.428204387,0
1779391146782,415164.782000000,3,0.903145313,0.008473698,0.023630580,-0.428600430,0
1779391146802,415164.802000000,3,0.904039145,0.008426039,0.023695217,-0.426709265,0
1779391146812,415164.812000000,3,0.903419912,0.008450490,0.023700085,-0.428017884,0
1779391146822,415164.822000000,3,0.904720783,0.008359717,0.023691826,-0.425263703,0
1779391146842,415164.842000000,3,0.904692948,0.008359605,0.023665970,-0.425324261,0
1779391146852,415164.852000000,3,0.905029953,0.008350356,0.023725003,-0.424603641,0
1779391146872,415164.872000000,3,0.906328380,0.008288660,0.023750696,-0.421824753,0
1779391146882,415164.882000000,3,0.903684735,0.008437688,0.023665125,-0.427460760,0
1779391146902,415164.902000000,3,0.904196322,0.008392159,0.023720251,-0.426375329,0
1779391146912,415164.912000000,3,0.904402077,0.008359374,0.023738593,-0.425938487,0
1779391146932,415164.932000000,3,0.908191442,0.008123275,0.023763960,-0.417800874,0
1779391146942,415164.942000000,3,0.905163288,0.008305941,0.023723280,-0.424320310,0
1779391146952,415164.952000000,3,0.907078981,0.008220960,0.023801874,-0.420206755,0
1779391146972,415164.972000000,3,0.904276073,0.008393904,0.023720562,-0.426206201,0
1779391146982,415164.982000000,3,0.904040575,0.008401866,0.023676008,-0.426707864,0
1779391147002,415165.002000000,3,0.905288160,0.008316155,0.023750124,-0.424052209,0
1779391147012,415165.012000000,3,0.903843105,0.008384800,0.023737827,-0.427122742,0
1779391147032,415165.032000000,3,0.903875530,0.008383191,0.023681397,-0.427057266,0
1779391147042,415165.042000000,3,0.904930592,0.008337452,0.023715271,-0.424816221,0
1779391147062,415165.062000000,3,0.904379547,0.008371524,0.023758240,-0.425984919,0
1779391147072,415165.072000000,3,0.904763639,0.008332948,0.023737738,-0.425170422,0
1779391147092,415165.092000000,3,0.905375063,0.008293078,0.023741990,-0.423867464,0
1779391147102,415165.102000000,3,0.902136564,0.008491833,0.023720017,-0.430714339,0
1779391147112,415165.112000000,3,0.904885054,0.008354104,0.023779338,-0.424909294,0
1779391147132,415165.132000000,3,0.903471947,0.008438820,0.023666076,-0.427910268,0
1779391147142,415165.142000000,3,0.904379249,0.008382782,0.023692328,-0.425989062,0
1779391147162,415165.162000000,3,0.904967248,0.008325170,0.023771487,-0.424735069,0
1779391147172,415165.172000000,3,0.904963732,0.008312249,0.023752272,-0.424744010,0
1779391147192,415165.192000000,3,0.905999839,0.008275917,0.023759522,-0.422529757,0
1779391147202,415165.202000000,3,0.903972030,0.008413728,0.023747563,-0.426848888,0
1779391147222,415165.222000000,3,0.906996846,0.008223979,0.023770539,-0.420385599,0
1779391147232,415165.232000000,3,0.906561255,0.008233721,0.023737419,-0.421325922,0
1779391147242,415165.242000000,3,0.906933546,0.008215416,0.023766151,-0.420522571,0
1779391147262,415165.262000000,3,0.904936910,0.008362006,0.023784496,-0.424798369,0
1779391147272,415165.272000000,3,0.905664504,0.008328461,0.023769205,-0.423246443,0
1779391147292,415165.292000000,3,0.905780971,0.008329398,0.023733731,-0.422999054,0
1779391147302,415165.302000000,3,0.905565739,0.008339869,0.023769340,-0.423457474,0
1779391147322,415165.322000000,3,0.904798627,0.008342161,0.023749193,-0.425095230,0
1779391147332,415165.332000000,3,0.906625926,0.008230826,0.023755822,-0.421185583,0
1779391147352,415165.352000000,3,0.906400323,0.008274968,0.023801491,-0.421667576,0
1779391147362,415165.362000000,3,0.907290876,0.008228522,0.023812197,-0.419748217,0
1779391147382,415165.382000000,3,0.905665278,0.008300362,0.023702245,-0.423249006,0
1779391147392,415165.392000000,3,0.904831886,0.008341726,0.023706330,-0.425026774,0
1779391147402,415165.402000000,3,0.905607522,0.008301731,0.023768671,-0.423368931,0
1779391147422,415165.422000000,3,0.904721916,0.008345567,0.023762114,-0.425257504,0
1779391147432,415165.432000000,3,0.905843198,0.008288399,0.023755731,-0.422865421,0
1779391147452,415165.452000000,3,0.906648099,0.008302039,0.023775389,-0.421135455,0
1779391147462,415165.462000000,3,0.905746400,0.008362175,0.023759168,-0.423070937,0
1779391147482,415165.482000000,3,0.906791329,0.008254954,0.023730880,-0.420830488,0
1779391147492,415165.492000000,3,0.905663490,0.008303827,0.023731064,-0.423251182,0
1779391147512,415165.512000000,3,0.906010807,0.008292387,0.023798481,-0.422503620,0
1779391147522,415165.522000000,3,0.905363083,0.008319207,0.023754198,-0.423891872,0
1779391147532,415165.532000000,3,0.906173468,0.008264701,0.023739673,-0.422158629,0
1779391147552,415165.552000000,3,0.908235490,0.008153595,0.023812605,-0.417701811,0
1779391147562,415165.562000000,3,0.905310392,0.008318141,0.023771796,-0.424003273,0
1779391147582,415165.582000000,3,0.906945288,0.008215495,0.023776436,-0.420496821,0
1779391147592,415165.592000000,3,0.903493404,0.008421368,0.023713499,-0.427862704,0
1779391147612,415165.612000000,3,0.903613567,0.008431056,0.023737321,-0.427607298,0
1779391147622,415165.622000000,3,0.905204058,0.008317117,0.023737684,-0.424232274,0
